question,source
"I am able to adapt when changes occur.",CD_RISC_1
"I have one close and secure relationship.",CD_RISC_2
"Sometimes fate or God helps me.",CD_RISC_3
"I can deal with whatever comes my way.",CD_RISC_4
"Past successes give me confidence.",CD_RISC_5
"I try to see the humorous side of things when I am faced with problems.",CD_RISC_6
"Having to cope with stress can make me stronger.",CD_RISC_7
"I tend to bounce back after illness, injury, or other hardships.",CD_RISC_8
"I believe most things happen for a reason.",CD_RISC_9
"I make my best effort, no matter what.",CD_RISC_10
"I believe I can achieve my goals, even if there are obstacles.",CD_RISC_11
"Even when hopeless, I do not give up.",CD_RISC_12
"In times of stress, I know where to find help.",CD_RISC_13
"Under pressure, I stay focused and think clearly.",CD_RISC_14
"I prefer to take the lead in problem-solving.",CD_RISC_15
"I am not easily discouraged by failure.",CD_RISC_16
"I think of myself as a strong person when dealing with life's challenges and difficulties.",CD_RISC_17
"I make unpopular or difficult decisions.",CD_RISC_18
"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",CD_RISC_19
"I have to act on a hunch.",CD_RISC_20
"I have a strong sense of purpose in life.",CD_RISC_21
"I feel like I am in control.",CD_RISC_22
"I like challenges.",CD_RISC_23
"I work to attain goals.",CD_RISC_24
"I take pride in my achievements.",CD_RISC_25
