question,source
"During the past month, what time have you usually gone to bed at night?",PSS_1
"During the past month, how long (in minutes) has it usually taken you to fall asleep each night?",PSS_2
"During the past month, what time have you usually gotten up in the morning?",PSS_3
"During the past month, how many hours of actual sleep did you get at night?",PSS_4
"During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?",PSS_5_1
"During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?",PSS_5_2
"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?",PSS_5_3
"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",PSS_5_4
"During the past month, how often have you had trouble sleeping because you cough or snore loudly?",PSS_5_5
"During the past month, how often have you had trouble sleeping because you feel too cold?",PSS_5_6
"During the past month, how often have you had trouble sleeping because you feel too hot?",PSS_5_7
"During the past month, how often have you had trouble sleeping because you have bad dreams?",PSS_5_8
"During the past month, how often have you had trouble sleeping because you have pain?",PSS_5_9
"During the past month, how often have you had trouble sleeping because of other reasons?",PSS_5_10
"During the past month, how would you rate your sleep quality overall?",PSS_6
"During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?",PSS_7
"During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?",PSS_8
"During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?",PSS_9
"During the past month, how often has your bed partner or room mate reported loud snoring?",PSS_10_1
"During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?",PSS_10_2
"During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?",PSS_10_3
"During the past month, how often has your bed partner or room mate reported episodes of disorientation or confusion during sleep?",PSS_10_4
"During the past month, how often has your bed partner or room mate reported other restlessness while you sleep?",PSS_10_5
