question,source
"I am always optimistic about my future.",PWS_1
"There have been times when I felt inferior to most of the people I knew.",PWS_2
"Members of my family come to me for support.",PWS_3
"My physical health has restricted me in the past.",PWS_4
"I believe there is a real purpose for my life.",PWS_5
"I will always seek out activities that challenge me to think and reason.",PWS_6
"I rarely count on good things happening to me.",PWS_7
"In general, I feel confident about my abilities.",PWS_8
"Sometimes I wonder if my family will really be there for me when I am in need.",PWS_9
"My body seems to resist physical illness very well.",PWS_10
"Life does not hold much future promise for me.",PWS_11
"I avoid activities which require me to concentrate.",PWS_12
"I always look on the bright side of things.",PWS_13
"I sometimes think I am a worthless individual.",PWS_14
"My friends know they can always confide in me and ask me for advice.",PWS_15
"My physical health is excellent.",PWS_16
"Sometimes I don't understand what life is all about.",PWS_17
"Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life.",PWS_18
"In the past, I have expected the best.",PWS_19
"I am uncertain about my ability to do things well in the future.",PWS_20
"My family has been available to support me in the past.",PWS_21
"Compared to people I know, my past physical health has been excellent.",PWS_22
"I feel a sense of mission about my future.",PWS_23
"The amount of information that I process in a typical day is just about right for me (i.e. not too much and not too little).",PWS_24
"In the past, I hardly ever expected things to go my way.",PWS_25
"I will always be secure with who I am.",PWS_26
"In the past, I have not always had friends with whom I could share my joys and sorrows.",PWS_27
"I expect to always be physically healthy.",PWS_28
"I have felt in the past that my life was meaningless.",PWS_29
"In the past, I have generally found intellectual challenges to be vital to my overall well-being.",PWS_30
"Things will not work out the way I want them to in the future.",PWS_31
"In the past, I have felt sure of myself among strangers.",PWS_32
"My friends will be there for me when I need help.",PWS_33
"I expect my physical health to get worse.",PWS_34
"It seems that my life has always had purpose.",PWS_35
"My life has often seemed void of positive mental stimulation.",PWS_36
