question,source
"I am unhappy doing so many things alone",UCLA_1
"I have nobody to talk to",UCLA_2
"I cannot tolerate being so alone",UCLA_3
"I lack companionship",UCLA_4
"I feel as if nobody really understands me",UCLA_5
"I find myself waiting for people to call or write",UCLA_6
"There is no one I can turn to",UCLA_7
"I am no longer close to anyone",UCLA_8
"My interests and ideas are not shared by those around me",UCLA_9
"I feel left out",UCLA_10
"I feel completely alone",UCLA_11
"I am unable to reach out and communicate with those around me",UCLA_12
"My social relationships are superficial",UCLA_13
"I feel starved for company",UCLA_14
"No one really knows me well",UCLA_15
"I feel isolated from others",UCLA_16
"I am unhappy being so withdrawn",UCLA_17
"It is difficult for me to make friends",UCLA_18
"I feel shut out and excluded by others",UCLA_19
"People are around me but not with me",UCLA_20
