qid,text,answer,source,text_norm
CD_RISC_22,I feel like I am in control.,Emotional,Human01,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Emotional,Human02,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Spiritual,Human03,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Emotional,Human04,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Environmental,Human05,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Emotional,Human06,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Emotional,Human07,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Emotional,Human08,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Emotional,Human09,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Emotional,Human10,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Emotional,Human11,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Environmental,Human12,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Emotional,Human13,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Emotional,Human14,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Spiritual,Human15,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Emotional,Human16,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Emotional,Human17,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Emotional,Human18,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Environmental,Human19,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Emotional,Human20,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Spiritual,Human21,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Spiritual,Human22,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Environmental,Human23,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Emotional,Human24,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Intellectual,Human25,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Spiritual,Human26,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Spiritual,Human27,I feel like I am in control
CD_RISC_22,I feel like I am in control.,Environmental,Human28,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Emotional,Human01,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Emotional,Human02,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Spiritual,Human03,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Emotional,Human04,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Environmental,Human05,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Emotional,Human06,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Emotional,Human07,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Occupational,Human08,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Emotional,Human09,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Emotional,Human10,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Emotional,Human11,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Environmental,Human12,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Emotional,Human13,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Emotional,Human14,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Spiritual,Human15,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Emotional,Human16,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Emotional,Human17,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Emotional,Human18,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Environmental,Human19,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Emotional,Human20,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Spiritual,Human21,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Spiritual,Human22,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Occupational,Human23,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Emotional,Human24,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Intellectual,Human25,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Spiritual,Human26,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Spiritual,Human27,I feel like I am in control
CD_RISC_22,I feel like I am in control.2,Social,Human28,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Emotional,Human01,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Emotional,Human02,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Spiritual,Human03,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Emotional,Human04,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Environmental,Human05,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Emotional,Human06,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Emotional,Human07,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Spiritual,Human08,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Emotional,Human09,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Emotional,Human10,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Emotional,Human11,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Environmental,Human12,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Emotional,Human13,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Emotional,Human14,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Spiritual,Human15,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Emotional,Human16,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Emotional,Human17,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Emotional,Human18,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Environmental,Human19,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Emotional,Human20,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Spiritual,Human21,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Spiritual,Human22,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Emotional,Human23,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Emotional,Human24,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Intellectual,Human25,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Spiritual,Human26,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Spiritual,Human27,I feel like I am in control
CD_RISC_22,I feel like I am in control.3,Emotional,Human28,I feel like I am in control
PWB_1,I like most parts of my personality.,Emotional,Human01,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human02,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human03,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human04,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human05,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human06,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human07,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human08,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human09,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human10,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human11,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human12,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human13,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human14,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human15,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human16,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human17,I like most parts of my personality
PWB_1,I like most parts of my personality.,Spiritual,Human18,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human19,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human20,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human21,I like most parts of my personality
PWB_1,I like most parts of my personality.,Spiritual,Human22,I like most parts of my personality
PWB_1,I like most parts of my personality.,Spiritual,Human23,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human24,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human25,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human26,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human27,I like most parts of my personality
PWB_1,I like most parts of my personality.,Emotional,Human28,I like most parts of my personality
PWB_1,I like most parts of my personality.2,Emotional,Human01,I like most parts of my personality
PWB_1,I like most parts of my personality.2,Emotional,Human02,I like most parts of my personality
PWB_1,I like most parts of my personality.2,Emotional,Human03,I like most parts of my personality
