qid,text_norm,answer,source
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control,Financial,ChatGPT-5.2
