qid,text,answer,source,text_norm
CD_RISC_1,I am able to adapt when changes occur.,Emotional,Human01,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Emotional,Human02,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Social,Human03,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Emotional,Human04,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Environmental,Human05,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Intellectual,Human06,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Intellectual,Human07,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Environmental,Human08,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Emotional,Human09,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Intellectual,Human10,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Emotional,Human11,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Emotional,Human12,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Emotional,Human13,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Intellectual,Human14,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Environmental,Human15,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Emotional,Human16,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Environmental,Human17,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Emotional,Human18,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Social,Human19,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Intellectual,Human20,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Emotional,Human21,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Emotional,Human22,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Emotional,Human23,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Intellectual,Human24,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Intellectual,Human25,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Emotional,Human26,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Emotional,Human27,I am able to adapt when changes occur
CD_RISC_1,I am able to adapt when changes occur.,Emotional,Human28,I am able to adapt when changes occur
CD_RISC_10,"I make my best effort, no matter what.",Emotional,Human01,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Emotional,Human02,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Emotional,Human03,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Emotional,Human04,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Emotional,Human05,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Emotional,Human06,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Intellectual,Human07,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Spiritual,Human08,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Occupational,Human09,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Emotional,Human10,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Emotional,Human11,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Intellectual,Human12,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Intellectual,Human13,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Intellectual,Human14,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Emotional,Human15,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Intellectual,Human16,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Occupational,Human17,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Emotional,Human18,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Intellectual,Human19,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Emotional,Human20,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Emotional,Human21,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Occupational,Human22,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Occupational,Human23,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Intellectual,Human24,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Intellectual,Human25,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Intellectual,Human26,"I make my best effort, no matter what"
