qid,text,answer,source
CD_RISC_1,I am able to adapt when changes occur.,Emotional,ChatGPT-5.2
CD_RISC_10,"I make my best effort, no matter what.",Intellectual,ChatGPT-5.2
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Occupational,ChatGPT-5.2
CD_RISC_12,"Even when hopeless, I do not give up.",Financial,ChatGPT-5.2
CD_RISC_13,"In times of stress, I know where to find help.",Emotional,ChatGPT-5.2
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Intellectual,ChatGPT-5.2
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,ChatGPT-5.2
CD_RISC_16,I am not easily discouraged by failure.,Intellectual,ChatGPT-5.2
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,ChatGPT-5.2
CD_RISC_18,I make unpopular or difficult decisions.,Financial,ChatGPT-5.2
CD_RISC_19,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",Emotional,ChatGPT-5.2
CD_RISC_2,I have one close and secure relationship.,Social,ChatGPT-5.2
CD_RISC_20,I have to act on a hunch.,Environmental,ChatGPT-5.2
CD_RISC_25,I take pride in my achievements,Occupational,ChatGPT-5.2
CD_RISC_3,Sometimes fate or God helps me.,Spiritual,ChatGPT-5.2
CD_RISC_4,I can deal with whatever comes my way.,Social,ChatGPT-5.2
CD_RISC_5,Past successes give me confidence.,Social,ChatGPT-5.2
CD_RISC_6,I try to see the humorous side of things when I am faced with problems.,Intellectual,ChatGPT-5.2
CD_RISC_7,Having to cope with stress can make me stronger.,Emotional,ChatGPT-5.2
CD_RISC_8,"I tend to bounce back after illness, injury, or other hardships.",Physical,ChatGPT-5.2
CD_RISC_9,I believe most things happen for a reason.,Spiritual,ChatGPT-5.2
PERMA1_1,How much of the time do you feel you are making progress towards accomplishing your goals?,Occupational,ChatGPT-5.2
PERMA1_2,How often do you become absorbed in what you are doing?,Physical,ChatGPT-5.2
PERMA1_3,How often do you feel joyful?,Emotional,ChatGPT-5.2
PERMA1_4,How often do you feel anxious?,Emotional,ChatGPT-5.2
PERMA1_5,How often do you achieve the important goals you have set for yourself?,Occupational,ChatGPT-5.2
PERMA2_1,How would you say your health is?,Physical,ChatGPT-5.2
PERMA3_1,To what extent do you lead a purposeful and meaningful life?,Occupational,ChatGPT-5.2
PERMA3_2,To what extent do you receive help and support from others when you need it?,Social,ChatGPT-5.2
PERMA3_3,To what extent do you feel that what you do in your life is valuable and worthwhile?,Occupational,ChatGPT-5.2
PERMA3_4,To what extent do you feel excited and interested in things?,Intellectual,ChatGPT-5.2
PERMA3_5,How lonely do you feel in your daily life?,Occupational,ChatGPT-5.2
PERMA4_1,How satisfied are you with your current physical health?,Physical,ChatGPT-5.2
PERMA5_1,How often do you feel positive?,Emotional,ChatGPT-5.2
PERMA5_2,How often do you feel angry?,Emotional,ChatGPT-5.2
PERMA5_3,How often are you able to handle your responsibilities?,Occupational,ChatGPT-5.2
PERMA5_4,How often do you feel sad?,Emotional,ChatGPT-5.2
PERMA5_5,How often do you lose track of time while doing something you enjoy?,Physical,ChatGPT-5.2
PERMA6_1,"Compared to others of your same age and sex, how is your health?",Physical,ChatGPT-5.2
PERMA7_1,To what extent do you feel you have a sense of direction in your life?,Spiritual,ChatGPT-5.2
PERMA7_2,How satisfied are you with your personal relationships?,Social,ChatGPT-5.2
PERMA7_3,To what extent do you feel loved?,Emotional,ChatGPT-5.2
PERMA7_4,To what extent do you feel contented?,Emotional,ChatGPT-5.2
PERMA8_1,"Taking all things together, how happy would you say you are?",Emotional,ChatGPT-5.2
PSS_1,"During the past month, what time have you usually gone to bed at night?",Environmental,ChatGPT-5.2
PSS_10_1,"During the past month, how often has your bed partner or room mate reported loud snoring?",Environmental,ChatGPT-5.2
PSS_10_2,"During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?",Environmental,ChatGPT-5.2
PSS_10_3,"During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?",Physical,ChatGPT-5.2
PSS_10_4,"During the past month, how often has your bed partner or room mate reported episodes of disorientation or confusion during sleep?",Environmental,ChatGPT-5.2
PSS_10_5,"During the past month, how often has your bed partner or room mate reported other restlessness while you sleep?",Environmental,ChatGPT-5.2
PSS_2,"During the past month, how long (in minutes) has it usually taken you to fall asleep each night?",Environmental,ChatGPT-5.2
PSS_3,"During the past month, what time have you usually gotten up in the morning?",Environmental,ChatGPT-5.2
PSS_4,"During the past month, how many hours of actual sleep did you get at night?",Environmental,ChatGPT-5.2
PSS_5_1,"During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?",Environmental,ChatGPT-5.2
PSS_5_10,"During the past month, how often have you had trouble sleeping because of other reasons?",Environmental,ChatGPT-5.2
PSS_5_2,"During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?",Environmental,ChatGPT-5.2
PSS_5_3,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?",Environmental,ChatGPT-5.2
PSS_5_4,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Environmental,ChatGPT-5.2
PSS_5_5,"During the past month, how often have you had trouble sleeping because you cough or snore loudly?",Environmental,ChatGPT-5.2
PSS_5_6,"During the past month, how often have you had trouble sleeping because you feel too cold?",Emotional,ChatGPT-5.2
PSS_5_7,"During the past month, how often have you had trouble sleeping because you feel too hot?",Emotional,ChatGPT-5.2
PSS_5_8,"During the past month, how often have you had trouble sleeping because you have bad dreams?",Environmental,ChatGPT-5.2
PSS_5_9,"During the past month, how often have you had trouble sleeping because you have pain?",Emotional,ChatGPT-5.2
PSS_6,"During the past month, how would you rate your sleep quality overall?",Environmental,ChatGPT-5.2
PSS_7,"During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?",Environmental,ChatGPT-5.2
PSS_8,"During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?",Environmental,ChatGPT-5.2
PSS_9,"During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?",Intellectual,ChatGPT-5.2
PWB_11,"For me, life has been a continuous process of learning, changing, and growth.",Intellectual,ChatGPT-5.2
PWB_12,I think it is important to have new experiences that challenge how I think about myself and the world.,Intellectual,ChatGPT-5.2
PWB_13,"People would describe me as a giving person, willing to share my time with others.",Social,ChatGPT-5.2
PWB_14,I gave up trying to make big improvements or changes in my life a long time ago.,Social,ChatGPT-5.2
PWB_15,I tend to be influenced by people with strong opinions.,Spiritual,ChatGPT-5.2
PWB_16,I have not experienced many warm and trusting relationships with others.,Social,ChatGPT-5.2
PWB_17,"I have confidence in my own opinions, even if they are different from the way most other people think.",Social,ChatGPT-5.2
PWB_18,"I judge myself by what I think is important, not by the values of what others think is important.",Spiritual,ChatGPT-5.2
PWS_1,I am always optimistic about my future.,Financial,ChatGPT-5.2
PWS_2,There have been times when I felt inferior to most of the people I knew.,Social,ChatGPT-5.2
PWS_3,Members of my family come to me for support.,Social,ChatGPT-5.2
CD_RISC_1,I am able to adapt when changes occur.,Intellectual,DeepSeek-V3.2
CD_RISC_10,"I make my best effort, no matter what.",Intellectual,DeepSeek-V3.2
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Financial,DeepSeek-V3.2
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,DeepSeek-V3.2
CD_RISC_13,"In times of stress, I know where to find help.",Emotional,DeepSeek-V3.2
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Intellectual,DeepSeek-V3.2
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,DeepSeek-V3.2
CD_RISC_16,I am not easily discouraged by failure.,Intellectual,DeepSeek-V3.2
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,DeepSeek-V3.2
CD_RISC_18,I make unpopular or difficult decisions.,Intellectual,DeepSeek-V3.2
CD_RISC_19,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",Emotional,DeepSeek-V3.2
CD_RISC_2,I have one close and secure relationship.,Social,DeepSeek-V3.2
CD_RISC_20,I have to act on a hunch.,Intellectual,DeepSeek-V3.2
CD_RISC_25,I take pride in my achievements,Occupational,DeepSeek-V3.2
CD_RISC_3,Sometimes fate or God helps me.,Spiritual,DeepSeek-V3.2
CD_RISC_4,I can deal with whatever comes my way.,Social,DeepSeek-V3.2
CD_RISC_5,Past successes give me confidence.,Occupational,DeepSeek-V3.2
CD_RISC_6,I try to see the humorous side of things when I am faced with problems.,Emotional,DeepSeek-V3.2
CD_RISC_7,Having to cope with stress can make me stronger.,Emotional,DeepSeek-V3.2
CD_RISC_8,"I tend to bounce back after illness, injury, or other hardships.",Physical,DeepSeek-V3.2
CD_RISC_9,I believe most things happen for a reason.,Emotional,DeepSeek-V3.2
PERMA1_1,How much of the time do you feel you are making progress towards accomplishing your goals?,Intellectual,DeepSeek-V3.2
PERMA1_2,How often do you become absorbed in what you are doing?,Occupational,DeepSeek-V3.2
PERMA1_3,How often do you feel joyful?,Emotional,DeepSeek-V3.2
PERMA1_4,How often do you feel anxious?,Emotional,DeepSeek-V3.2
PERMA1_5,How often do you achieve the important goals you have set for yourself?,Intellectual,DeepSeek-V3.2
PERMA2_1,How would you say your health is?,Physical,DeepSeek-V3.2
PERMA3_1,To what extent do you lead a purposeful and meaningful life?,Spiritual,DeepSeek-V3.2
PERMA3_2,To what extent do you receive help and support from others when you need it?,Financial,DeepSeek-V3.2
PERMA3_3,To what extent do you feel that what you do in your life is valuable and worthwhile?,Occupational,DeepSeek-V3.2
