lr,hidden_dim,dropout,margin,val_loss,val_rank,n_pairs,skipped_batches
0.001,128,0.0,0.05,0.03818712820825369,0.03818712820825369,2323,0
0.001,128,0.0,0.1,0.07841298169826466,0.07841298169826466,2323,0
0.001,128,0.0,0.2,0.15020568643504567,0.15020568643504567,2323,0
0.001,128,0.1,0.05,0.038652293416148266,0.038652293416148266,2323,0
0.001,128,0.1,0.1,0.07595850789644469,0.07595850789644469,2323,0
0.001,128,0.1,0.2,0.15530049661354828,0.15530049661354828,2323,0
0.001,128,0.2,0.05,0.03839096424558324,0.03839096424558324,2323,0
0.001,128,0.2,0.1,0.07608665793402873,0.07608665793402873,2323,0
0.001,128,0.2,0.2,0.1525400735428248,0.1525400735428248,2323,0
0.001,256,0.0,0.05,0.03951537270248064,0.03951537270248064,2323,0
0.001,256,0.0,0.1,0.07405882764141004,0.07405882764141004,2323,0
0.001,256,0.0,0.2,0.15184241506017285,0.15184241506017285,2323,0
0.001,256,0.1,0.05,0.03759634187841949,0.03759634187841949,2323,0
0.001,256,0.1,0.1,0.07564789438127086,0.07564789438127086,2323,0
0.001,256,0.1,0.2,0.14956765853147594,0.14956765853147594,2323,0
0.001,256,0.2,0.05,0.03805235036926643,0.03805235036926643,2323,0
0.001,256,0.2,0.1,0.07648491965597988,0.07648491965597988,2323,0
0.001,256,0.2,0.2,0.1521752023787987,0.1521752023787987,2323,0
0.001,512,0.0,0.05,0.038188321968950285,0.038188321968950285,2323,0
0.001,512,0.0,0.1,0.0762913767801653,0.0762913767801653,2323,0
0.001,512,0.0,0.2,0.15205776798560913,0.15205776798560913,2323,0
0.001,512,0.1,0.05,0.03836987196141874,0.03836987196141874,2323,0
0.001,512,0.1,0.1,0.07492081424862057,0.07492081424862057,2323,0
0.001,512,0.1,0.2,0.15260231560332685,0.15260231560332685,2323,0
0.001,512,0.2,0.05,0.03718082459095835,0.03718082459095835,2323,0
0.001,512,0.2,0.1,0.07614152607665563,0.07614152607665563,2323,0
0.001,512,0.2,0.2,0.15011821814872456,0.15011821814872456,2323,0
0.0007,128,0.0,0.05,0.03850670228541873,0.03850670228541873,2323,0
0.0007,128,0.0,0.1,0.07598133977892273,0.07598133977892273,2323,0
0.0007,128,0.0,0.2,0.15263045094570515,0.15263045094570515,2323,0
0.0007,128,0.1,0.05,0.03822225166682765,0.03822225166682765,2323,0
0.0007,128,0.1,0.1,0.07638877525675467,0.07638877525675467,2323,0
0.0007,128,0.1,0.2,0.15165427212334376,0.15165427212334376,2323,0
0.0007,128,0.2,0.05,0.03901265818806902,0.03901265818806902,2323,0
0.0007,128,0.2,0.1,0.07491008168245973,0.07491008168245973,2323,0
0.0007,128,0.2,0.2,0.1522294274317618,0.1522294274317618,2323,0
0.0007,256,0.0,0.05,0.03841496487334531,0.03841496487334531,2323,0
0.0007,256,0.0,0.1,0.07438794024099422,0.07438794024099422,2323,0
0.0007,256,0.0,0.2,0.15227860610353192,0.15227860610353192,2323,0
0.0007,256,0.1,0.05,0.03785210855071061,0.03785210855071061,2323,0
0.0007,256,0.1,0.1,0.07696676486481688,0.07696676486481688,2323,0
0.0007,256,0.1,0.2,0.15259994769784022,0.15259994769784022,2323,0
0.0007,256,0.2,0.05,0.03837873625841266,0.03837873625841266,2323,0
0.0007,256,0.2,0.1,0.07606784209089447,0.07606784209089447,2323,0
0.0007,256,0.2,0.2,0.15271274695109563,0.15271274695109563,2323,0
0.0007,512,0.0,0.05,0.03802585633879738,0.03802585633879738,2323,0
