lr,hidden_dim,dropout,margin,val_loss,val_rank,n_pairs,skipped_batches
0.001,16,0.0,0.02,0.017902911271061226,0.017902911271061226,2323,0
0.001,16,0.0,0.05,0.039333974617023024,0.039333974617023024,2323,0
0.001,16,0.0,0.1,0.07488278099754685,0.07488278099754685,2323,0
0.001,32,0.0,0.02,0.017484992986694908,0.017484992986694908,2323,0
0.001,32,0.0,0.05,0.0391515697794796,0.0391515697794796,2323,0
0.001,32,0.0,0.1,0.07666382707055663,0.07666382707055663,2323,0
0.001,64,0.0,0.02,0.016535608684046743,0.016535608684046743,2323,0
0.001,64,0.0,0.05,0.03782889521646695,0.03782889521646695,2323,0
0.001,64,0.0,0.1,0.07563037680741841,0.07563037680741841,2323,0
0.0007,16,0.0,0.02,0.01837306605107534,0.01837306605107534,2323,0
0.0007,16,0.0,0.05,0.03945540398875676,0.03945540398875676,2323,0
0.0007,16,0.0,0.1,0.07753602844461305,0.07753602844461305,2323,0
0.0007,32,0.0,0.02,0.01700479628777214,0.01700479628777214,2323,0
0.0007,32,0.0,0.05,0.03862032352004952,0.03862032352004952,2323,0
0.0007,32,0.0,0.1,0.07466052235571208,0.07466052235571208,2323,0
0.0007,64,0.0,0.02,0.01642367073177996,0.01642367073177996,2323,0
0.0007,64,0.0,0.05,0.039187586132246155,0.039187586132246155,2323,0
0.0007,64,0.0,0.1,0.07694385386762874,0.07694385386762874,2323,0
0.0005,16,0.0,0.02,0.017078480942658295,0.017078480942658295,2323,0
0.0005,16,0.0,0.05,0.0385268891548551,0.0385268891548551,2323,0
0.0005,16,0.0,0.1,0.07655643343482868,0.07655643343482868,2323,0
0.0005,32,0.0,0.02,0.018152233237241088,0.018152233237241088,2323,0
0.0005,32,0.0,0.05,0.04071875407432258,0.04071875407432258,2323,0
0.0005,32,0.0,0.1,0.07736993468159291,0.07736993468159291,2323,0
0.0005,64,0.0,0.02,0.016935231913806446,0.016935231913806446,2323,0
0.0005,64,0.0,0.05,0.03855293742058301,0.03855293742058301,2323,0
