lr,hidden_dim,dropout,margin,val_loss,val_rank,n_pairs,skipped_batches
0.0005,4,0.0,0.01,0.0092410721150204,0.0092410721150204,2323,0
0.001,8,0.0,0.01,0.0107531775315494,0.0107531775315494,2323,0
0.0007,8,0.0,0.01,0.0109671199549145,0.0109671199549145,2323,0
0.0007,4,0.0,0.01,0.0120695992014112,0.0120695992014112,2323,0
0.0005,8,0.0,0.01,0.0131835941388863,0.0131835941388863,2323,0
0.001,4,0.0,0.01,0.013442401154014,0.013442401154014,2323,0
0.0003,8,0.0,0.01,0.015171263235037,0.015171263235037,2323,0
0.0003,4,0.0,0.01,0.015942323905004,0.015942323905004,2323,0
0.0003,8,0.0,0.02,0.0176605164412981,0.0176605164412981,2323,0
0.001,8,0.0,0.02,0.0176837112004072,0.0176837112004072,2323,0
0.001,4,0.0,0.02,0.017805032725949,0.017805032725949,2323,0
0.0007,8,0.0,0.02,0.0193007314025239,0.0193007314025239,2323,0
0.0005,8,0.0,0.02,0.0198249468316087,0.0198249468316087,2323,0
0.0007,4,0.0,0.02,0.0207650295281931,0.0207650295281931,2323,0
0.0005,4,0.0,0.02,0.0209243537956753,0.0209243537956753,2323,0
0.0003,4,0.0,0.02,0.0213834128294058,0.0213834128294058,2323,0
