lr,hidden_dim,dropout,val_loss,val_bce
0.001,512,0.0,0.4976675808429718,0.4976675808429718
0.001,512,0.2,0.4991179406642914,0.4991179406642914
0.001,512,0.1,0.4995657503604889,0.4995657503604889
0.0007,512,0.0,0.4997733533382416,0.4997733533382416
0.0007,512,0.2,0.4998054802417755,0.4998054802417755
0.0007,512,0.1,0.5001775622367859,0.5001775622367859
0.001,256,0.1,0.500341534614563,0.500341534614563
0.001,256,0.0,0.5009631514549255,0.5009631514549255
0.001,256,0.2,0.5010008811950684,0.5010008811950684
0.0007,256,0.0,0.5015619397163391,0.5015619397163391
0.0005,512,0.1,0.5030426979064941,0.5030426979064941
0.001,128,0.2,0.5031045079231262,0.5031045079231262
0.0005,512,0.2,0.5031930208206177,0.5031930208206177
0.001,128,0.1,0.5037304162979126,0.5037304162979126
0.0007,256,0.2,0.5041922330856323,0.5041922330856323
0.0007,256,0.1,0.5042710304260254,0.5042710304260254
0.001,128,0.0,0.5048096776008606,0.5048096776008606
0.0005,512,0.0,0.5049030780792236,0.5049030780792236
0.0005,256,0.0,0.5082442164421082,0.5082442164421082
0.0007,128,0.1,0.5087701082229614,0.5087701082229614
0.0007,128,0.0,0.5092160105705261,0.5092160105705261
0.0005,256,0.1,0.5106267333030701,0.5106267333030701
0.0005,256,0.2,0.5111740827560425,0.5111740827560425
0.0007,128,0.2,0.5121498107910156,0.5121498107910156
0.0003,512,0.0,0.5122474431991577,0.5122474431991577
0.0003,512,0.1,0.5123347043991089,0.5123347043991089
0.0003,512,0.2,0.5151428580284119,0.5151428580284119
0.0005,128,0.0,0.5184221267700195,0.5184221267700195
0.0005,128,0.1,0.5201504826545715,0.5201504826545715
0.0005,128,0.2,0.5210062861442566,0.5210062861442566
0.0003,256,0.0,0.5217441916465759,0.5217441916465759
0.0003,256,0.1,0.5226869583129883,0.5226869583129883
0.0002,512,0.0,0.5259130597114563,0.5259130597114563
0.0002,512,0.1,0.5262606739997864,0.5262606739997864
0.0003,256,0.2,0.5265837907791138,0.5265837907791138
0.0002,512,0.2,0.5284720659255981,0.5284720659255981
0.0003,128,0.0,0.5384926199913025,0.5384926199913025
0.0003,128,0.1,0.5424929857254028,0.5424929857254028
0.0003,128,0.2,0.5428380370140076,0.5428380370140076
0.0002,256,0.0,0.5436176061630249,0.5436176061630249
0.0002,256,0.2,0.5439830422401428,0.5439830422401428
0.0002,256,0.1,0.544152557849884,0.544152557849884
0.0002,128,0.0,0.5627944469451904,0.5627944469451904
0.0002,128,0.1,0.563257098197937,0.563257098197937
0.0002,128,0.2,0.5637293457984924,0.5637293457984924
