alpha,beta,lr,margin,val_loss,val_bce,val_rank
1.0,1.0,0.0002,0.03,0.6819521081401927,0.6503711164682761,0.03173492976924981
1.0,1.1,0.0002,0.03,0.6875775031659795,0.6506037789743065,0.03378552962872318
1.0,1.2,0.0002,0.03,0.6889613444321,0.651724697072844,0.031218048477777108
1.0,1.0,0.0002,0.04,0.6901797990232592,0.6494160031906946,0.040790615767702376
1.0,1.3,0.0002,0.03,0.6933676904188719,0.6543536608703292,0.030002817936527076
1.0,1.1,0.0002,0.04,0.6964891511818458,0.6520305945041993,0.04014107086377004
1.0,1.4,0.0002,0.03,0.6973447902449246,0.6555266926115043,0.02944578344160326
1.0,1.2,0.0002,0.04,0.6976473644318708,0.6517133114438404,0.0378010930702751
1.0,1.0,0.0002,0.05,0.6985916166469969,0.6490864376912172,0.049054414139730995
1.0,1.5,0.0002,0.03,0.6988795849555297,0.6554592071365123,0.028767810416822026
1.0,1.1,0.0002,0.05,0.7030963879435456,0.6512171637509517,0.046868157935871214
1.0,1.3,0.0002,0.04,0.7070741708251251,0.6535554165127634,0.041257264169540016
1.0,1.4,0.0002,0.04,0.7079738549802496,0.655094296082683,0.03761394194187376
1.0,1.0,0.0002,0.06,0.7083883130230666,0.6501831946701839,0.058351021975253194
1.0,1.2,0.0002,0.05,0.7105255611098132,0.6537015095524404,0.04750296747407367
1.0,1.5,0.0002,0.04,0.7116826156090046,0.6557616383636592,0.03721752349452448
1.0,1.3,0.0002,0.05,0.7146285450321505,0.6544281920254003,0.046252365162723595
1.0,1.1,0.0002,0.06,0.715297146318516,0.6519756609452638,0.05749999556339254
1.0,1.0,0.0002,0.07,0.718138972461452,0.650916274251609,0.06676300953924527
1.0,1.2,0.0002,0.06,0.7222357079443804,0.6537414675014686,0.05717432088235869
1.0,1.4,0.0002,0.05,0.7237403981987087,0.6562862414509857,0.04786758473623276
1.0,1.0,0.0002,0.08,0.7266519549249233,0.6517637410839855,0.0748299774787983
1.0,1.5,0.0002,0.05,0.7271510527051729,0.6565567033500964,0.04730924133738977
1.0,1.1,0.0002,0.07,0.7273047682882725,0.6527083808434877,0.06773840231252445
1.0,1.3,0.0002,0.06,0.7273617295469818,0.6559361413520871,0.05476038079681553
1.0,1.2,0.0002,0.07,0.7309585780019504,0.653809762320756,0.06361461841644422
1.0,1.4,0.0002,0.06,0.7355700409275362,0.6559468562575592,0.05687203007945458
1.0,1.1,0.0002,0.08,0.7357694381041545,0.6529936507287153,0.07503529035238116
1.0,1.3,0.0002,0.07,0.73900242463839,0.6555268474465585,0.0638734193016012
1.0,1.5,0.0002,0.06,0.7415410577109034,0.6570732636926732,0.05590414726209445
1.0,1.2,0.0002,0.08,0.742735352095973,0.6547564142508525,0.07296205882433669
1.0,1.0,0.0002,0.1,0.7458539675935475,0.6532489833247159,0.0922891724721604
1.0,1.4,0.0002,0.07,0.7476368731465833,0.6592293240101401,0.06300372565088988
1.0,1.3,0.0002,0.08,0.7477263808250427,0.6552735777193559,0.0707503392590026
1.0,1.5,0.0002,0.07,0.7538185925776018,0.6581195405616614,0.06348539489709094
1.0,1.4,0.0002,0.08,0.7611381900264842,0.6575712643820664,0.07370583998505227
1.0,1.0,0.0002,0.12,0.7651183111914273,0.6547064176007705,0.1097887177669791
1.0,1.5,0.0002,0.08,0.7657299487070105,0.659342790928837,0.0706920640633709
1.0,1.3,0.0002,0.1,0.7738971045647545,0.6592394967645521,0.0884034370155976
1.0,1.0,0.0002,0.14,0.7809402727989402,0.6553809489783656,0.1253990675649456
1.0,1.7,0.0002,0.08,0.7809931722637338,0.6606947539866656,0.0708465473746437
1.0,1.5,0.0002,0.1,0.7895140764357029,0.6617264706512977,0.0844041615166491
1.0,1.0,0.0002,0.15,0.791492996087933,0.6553448557396958,0.1359840149907423
1.0,1.3,0.0002,0.12,0.7941852524819502,0.6596051874745394,0.103156243383987
1.0,1.0,0.0002,0.16,0.7997476913006369,0.657239325886942,0.1420830481148874
1.0,2.0,0.0002,0.08,0.8055863891981571,0.6676428496152506,0.068759543781926
1.0,1.7,0.0002,0.1,0.8127480288574979,0.6644291615120752,0.0871547754377678
1.0,1.5,0.0002,0.12,0.8175148210306277,0.6632912732175483,0.102794065385146
1.0,1.0,0.0002,0.18,0.8189465209442081,0.657940831677667,0.1606903481832415
1.0,1.3,0.0002,0.14,0.8214002585045679,0.6617494161558334,0.1222528990196145
1.0,1.3,0.0002,0.15,0.8280929315592594,0.6622481542528817,0.126925586082532
1.0,2.0,0.0002,0.1,0.8348232514556797,0.6683708920332664,0.0832178798045929
1.0,1.7,0.0002,0.12,0.8384337740382929,0.6664071169849557,0.1009379534008325
1.0,1.5,0.0002,0.14,0.8421674480383423,0.6644969102980076,0.1179026528371853
1.0,1.3,0.0002,0.16,0.8434387276455817,0.6621527240194124,0.1392148310030733
1.0,1.5,0.0002,0.15,0.8567806559960961,0.6661909955671463,0.1265529262682152
1.0,1.3,0.0002,0.18,0.8669806552115985,0.6649993032331211,0.154657060787999
1.0,1.7,0.0002,0.14,0.8670248921346847,0.6668569251495303,0.1181470378142875
1.0,2.0,0.0002,0.12,0.8689448043304385,0.6709191927051179,0.099030804586626
1.0,1.5,0.0002,0.16,0.8703970861160892,0.6666824452265012,0.1357105853540395
1.0,1.7,0.0002,0.15,0.8839668560758861,0.6679965803449638,0.1275262026355998
