alpha,beta,margin,method,threshold,gap_threshold,val_l1
1.0,1.0,0.03,threshold,0.46,,7.189655172413793
1.0,1.0,0.03,threshold,0.48,,7.189655172413793
1.0,1.0,0.03,threshold,0.5,,7.189655172413793
1.0,1.0,0.03,threshold,0.52,,7.189655172413793
1.0,1.0,0.03,threshold,0.54,,7.189655172413793
1.0,1.0,0.03,threshold_gap,0.46,0.06,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.5,0.05,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.5,0.04,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.5,0.03,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.5,0.02,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.48,0.06,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.5,0.0,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.5,0.06,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.48,0.05,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.48,0.04,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.5,0.01,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.52,0.0,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.52,0.03,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.52,0.02,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.48,0.03,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.52,0.04,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.52,0.05,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.52,0.06,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.54,0.0,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.54,0.01,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.54,0.02,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.54,0.03,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.54,0.04,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.52,0.01,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.48,0.02,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.54,0.06,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.48,0.0,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.54,0.05,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.46,0.05,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.46,0.04,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.46,0.03,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.46,0.02,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.46,0.01,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.46,0.0,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.42,0.0,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.44,0.0,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.48,0.01,7.526819923371647
1.0,1.0,0.03,threshold_gap,0.44,0.01,7.599616858237548
1.0,1.0,0.03,threshold_gap,0.42,0.01,7.634099616858237
1.0,1.0,0.03,threshold,0.44,,7.655172413793103
1.0,1.0,0.03,threshold_gap,0.44,0.02,7.739463601532567
1.0,1.0,0.03,threshold_gap,0.42,0.02,7.773946360153257
1.0,1.0,0.03,threshold_gap,0.44,0.04,7.959770114942529
1.0,1.0,0.03,threshold_gap,0.44,0.05,7.959770114942529
1.0,1.0,0.03,threshold_gap,0.44,0.06,7.959770114942529
1.0,1.0,0.03,threshold_gap,0.44,0.03,7.959770114942529
1.0,1.0,0.03,threshold_gap,0.42,0.03,7.994252873563219
1.0,1.0,0.03,threshold,0.42,,8.49808429118774
1.0,1.0,0.03,threshold_gap,0.42,0.06,8.74712643678161
1.0,1.0,0.03,threshold_gap,0.42,0.05,8.74712643678161
1.0,1.0,0.03,threshold_gap,0.42,0.04,8.74712643678161
