qid,text,Emotional,Environmental,Financial,Intellectual,Occupational,Physical,Social,Spiritual
CD_RISC_10,"I make my best effort, no matter what.",1,0,0,0,0,0,0,0
CD_RISC_10,"I make my best effort, no matter what.",2,0,0,3,1,0,0,0
CD_RISC_10,"I make my best effort, no matter what.",3,0,0,2,4,0,0,1
CD_RISC_10,"I make my best effort, no matter what.",1,0,0,2,3,0,0,0
CD_RISC_10,"I make my best effort, no matter what.",4,0,0,2,1,0,3,0
CD_RISC_10,"I make my best effort, no matter what.",7,8,3,4,1,2,6,5
CD_RISC_10,"I make my best effort, no matter what.",7,6,0,5,3,2,1,4
CD_RISC_10,"I make my best effort, no matter what.",1,0,0,2,0,0,0,0
CD_RISC_10,"I make my best effort, no matter what.",1,2,3,4,5,0,0,0
CD_RISC_10,"I make my best effort, no matter what.",0,0,0,0,0,0,0,0
CD_RISC_10,"I make my best effort, no matter what.",3,0,0,0,4,0,2,1
CD_RISC_10,"I make my best effort, no matter what.",2,7,4,8,6,3,5,1
CD_RISC_10,"I make my best effort, no matter what.",3,0,0,1,2,0,0,0
CD_RISC_10,"I make my best effort, no matter what.",3,0,2,7,5,4,1,6
CD_RISC_10,"I make my best effort, no matter what.",3,0,0,2,4,0,0,1
CD_RISC_10,"I make my best effort, no matter what.",2,0,0,3,1,0,0,0
CD_RISC_10,"I make my best effort, no matter what.",0,0,0,0,0,0,0,1
CD_RISC_10,"I make my best effort, no matter what.",0,0,0,0,3,1,0,2
CD_RISC_10,"I make my best effort, no matter what.",2,0,0,3,0,1,0,0
CD_RISC_10,"I make my best effort, no matter what.",3,0,0,2,4,5,6,1
CD_RISC_10,"I make my best effort, no matter what.",1,0,0,0,0,0,0,0
CD_RISC_10,"I make my best effort, no matter what.",0,0,0,2,0,0,0,1
CD_RISC_10,"I make my best effort, no matter what.",5,2,0,0,4,0,3,1
CD_RISC_10,"I make my best effort, no matter what.",6,2,1,5,0,0,3,4
CD_RISC_10,"I make my best effort, no matter what.",1,0,0,0,2,0,0,0
CD_RISC_10,"I make my best effort, no matter what.",1,0,0,0,0,0,0,0
CD_RISC_10,"I make my best effort, no matter what.",8,4,2,7,3,1,6,5
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",2,0,0,0,1,0,0,0
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",2,0,0,3,1,0,0,0
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",4,0,0,1,3,0,0,2
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",1,0,0,3,2,0,0,0
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",5,4,0,6,0,2,3,1
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",1,0,0,3,2,0,0,0
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",5,6,7,2,8,3,1,4
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",1,0,0,2,0,0,0,0
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",1,0,0,0,0,0,0,2
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",2,3,0,1,0,0,0,4
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",3,5,0,2,0,0,1,4
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",1,0,0,3,0,2,0,4
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",7,1,3,8,6,2,4,5
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",2,0,0,3,1,0,0,0
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",3,0,0,0,2,1,0,0
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",3,0,0,2,4,1,0,0
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",3,0,0,0,2,0,0,1
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",1,0,0,2,0,0,0,0
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",5,1,2,3,7,8,4,6
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",1,0,0,0,0,0,0,0
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",3,0,0,2,0,0,0,1
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",0,0,0,0,1,0,0,0
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",3,0,0,1,0,0,0,2
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",0,0,0,0,1,0,0,2
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",1,0,0,0,0,0,0,0
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",6,3,0,4,5,2,0,1
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",1,0,4,3,6,2,0,5
CD_RISC_12,"Even when hopeless, I do not give up.",1,0,0,0,0,0,0,0
CD_RISC_12,"Even when hopeless, I do not give up.",1,0,0,0,0,0,0,2
CD_RISC_12,"Even when hopeless, I do not give up.",1,0,0,0,0,0,0,0
CD_RISC_12,"Even when hopeless, I do not give up.",0,0,3,0,4,1,2,0
CD_RISC_12,"Even when hopeless, I do not give up.",3,0,0,0,1,0,0,2
CD_RISC_12,"Even when hopeless, I do not give up.",2,0,0,0,0,0,1,0
CD_RISC_12,"Even when hopeless, I do not give up.",1,0,0,0,0,0,0,0
CD_RISC_12,"Even when hopeless, I do not give up.",8,3,4,6,2,7,5,1
CD_RISC_12,"Even when hopeless, I do not give up.",3,1,0,4,0,0,2,5
CD_RISC_12,"Even when hopeless, I do not give up.",4,1,0,3,0,0,2,0
CD_RISC_12,"Even when hopeless, I do not give up.",3,0,0,1,0,0,0,2
CD_RISC_12,"Even when hopeless, I do not give up.",2,0,0,0,0,0,0,1
CD_RISC_12,"Even when hopeless, I do not give up.",1,0,0,3,0,0,0,2
CD_RISC_12,"Even when hopeless, I do not give up.",1,0,0,0,0,0,0,0
CD_RISC_12,"Even when hopeless, I do not give up.",0,0,0,0,0,0,2,1
CD_RISC_12,"Even when hopeless, I do not give up.",1,0,0,0,0,0,0,2
CD_RISC_12,"Even when hopeless, I do not give up.",1,0,0,0,0,2,0,0
CD_RISC_12,"Even when hopeless, I do not give up.",0,0,0,0,1,0,0,2
CD_RISC_12,"Even when hopeless, I do not give up.",1,0,0,0,0,0,0,2
CD_RISC_12,"Even when hopeless, I do not give up.",0,0,0,0,0,2,0,1
CD_RISC_12,"Even when hopeless, I do not give up.",7,1,2,3,6,4,5,8
CD_RISC_12,"Even when hopeless, I do not give up.",1,0,0,2,0,0,0,3
CD_RISC_12,"Even when hopeless, I do not give up.",1,0,0,0,0,0,0,2
CD_RISC_12,"Even when hopeless, I do not give up.",2,0,0,0,0,0,0,1
CD_RISC_12,"Even when hopeless, I do not give up.",3,0,0,0,0,0,2,1
CD_RISC_12,"Even when hopeless, I do not give up.",1,0,0,0,0,0,0,2
CD_RISC_12,"Even when hopeless, I do not give up.",3,0,0,1,0,0,0,2
CD_RISC_14,"Under pressure, I stay focused and think clearly.",0,0,3,1,2,0,4,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",4,3,0,1,0,0,2,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",1,0,0,2,0,0,0,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",2,4,3,5,6,8,7,1
CD_RISC_14,"Under pressure, I stay focused and think clearly.",4,2,0,5,0,0,3,1
CD_RISC_14,"Under pressure, I stay focused and think clearly.",4,1,0,3,0,0,0,2
CD_RISC_14,"Under pressure, I stay focused and think clearly.",2,0,0,1,0,0,0,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",2,0,0,3,0,0,1,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",1,0,0,0,0,0,0,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",1,0,0,0,0,0,0,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",1,0,0,0,0,0,0,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",0,5,0,4,1,2,3,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",4,3,0,2,1,0,0,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",3,0,0,2,0,0,1,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",2,0,0,1,0,0,0,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",1,0,0,0,0,0,0,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",2,0,0,1,0,0,0,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",2,0,0,1,0,0,0,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",1,0,0,2,0,0,0,0
