qid,dataset,text
CD_RISC_1,CD-RISC,I am able to adapt when changes occur.
CD_RISC_2,CD-RISC,I have one close and secure relationship.
CD_RISC_3,CD-RISC,Sometimes fate or God helps me.
CD_RISC_4,CD-RISC,I can deal with whatever comes my way.
CD_RISC_5,CD-RISC,Past successes give me confidence.
CD_RISC_6,CD-RISC,I try to see the humorous side of things when I am faced with problems.
CD_RISC_7,CD-RISC,Having to cope with stress can make me stronger.
CD_RISC_8,CD-RISC,"I tend to bounce back after illness, injury, or other hardships."
CD_RISC_9,CD-RISC,I believe most things happen for a reason.
CD_RISC_10,CD-RISC,"I make my best effort, no matter what."
CD_RISC_11,CD-RISC,"I believe I can achieve my goals, even if there are obstacles."
CD_RISC_12,CD-RISC,"Even when hopeless, I do not give up."
CD_RISC_13,CD-RISC,"In times of stress, I know where to find help."
CD_RISC_14,CD-RISC,"Under pressure, I stay focused and think clearly."
CD_RISC_15,CD-RISC,I prefer to take the lead in problem-solving.
CD_RISC_16,CD-RISC,I am not easily discouraged by failure.
CD_RISC_17,CD-RISC,I think of myself as a strong person when dealing with life's challenges and difficulties.
CD_RISC_18,CD-RISC,I make unpopular or difficult decisions.
CD_RISC_19,CD-RISC,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger."
CD_RISC_20,CD-RISC,I have to act on a hunch.
CD_RISC_21,CD-RISC,I have a strong sense of purpose in life.
CD_RISC_22,CD-RISC,I feel like I am in control.
CD_RISC_23,CD-RISC,I like challenges.
CD_RISC_24,CD-RISC,I work to attain goals.
CD_RISC_25,CD-RISC,I take pride in my achievements.
PERMA1_1,PERMA,How much of the time do you feel you are making progress towards accomplishing your goals?
PERMA1_2,PERMA,How often do you become absorbed in what you are doing?
PERMA1_3,PERMA,How often do you feel joyful?
PERMA1_4,PERMA,How often do you feel anxious?
PERMA1_5,PERMA,How often do you achieve the important goals you have set for yourself?
PERMA2_1,PERMA,How would you say your health is?
PERMA3_1,PERMA,To what extent do you lead a purposeful and meaningful life?
PERMA3_2,PERMA,To what extent do you receive help and support from others when you need it?
PERMA3_3,PERMA,To what extent do you feel that what you do in your life is valuable and worthwhile?
PERMA3_4,PERMA,To what extent do you feel excited and interested in things?
PERMA3_5,PERMA,How lonely do you feel in your daily life?
PERMA4_1,PERMA,How satisfied are you with your current physical health?
PERMA5_1,PERMA,How often do you feel positive?
PERMA5_2,PERMA,How often do you feel angry?
PERMA5_3,PERMA,How often are you able to handle your responsibilities?
PERMA5_4,PERMA,How often do you feel sad?
PERMA5_5,PERMA,How often do you lose track of time while doing something you enjoy?
PERMA6_1,PERMA,"Compared to others of your same age and sex, how is your health?"
PERMA7_1,PERMA,To what extent do you feel you have a sense of direction in your life?
PERMA7_2,PERMA,How satisfied are you with your personal relationships?
PERMA7_3,PERMA,To what extent do you feel loved?
PERMA7_4,PERMA,To what extent do you feel contented?
PERMA8_1,PERMA,"Taking all things together, how happy would you say you are?"
PSS_1,PSS,"During the past month, what time have you usually gone to bed at night?"
PSS_2,PSS,"During the past month, how long (in minutes) has it usually taken you to fall asleep each night?"
PSS_3,PSS,"During the past month, what time have you usually gotten up in the morning?"
PSS_4,PSS,"During the past month, how many hours of actual sleep did you get at night?"
PSS_5_1,PSS,"During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?"
PSS_5_2,PSS,"During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?"
PSS_5_3,PSS,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?"
PSS_5_4,PSS,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?"
PSS_5_5,PSS,"During the past month, how often have you had trouble sleeping because you cough or snore loudly?"
PSS_5_6,PSS,"During the past month, how often have you had trouble sleeping because you feel too cold?"
PSS_5_7,PSS,"During the past month, how often have you had trouble sleeping because you feel too hot?"
PSS_5_8,PSS,"During the past month, how often have you had trouble sleeping because you have bad dreams?"
PSS_5_9,PSS,"During the past month, how often have you had trouble sleeping because you have pain?"
PSS_5_10,PSS,"During the past month, how often have you had trouble sleeping because of other reasons?"
PSS_6,PSS,"During the past month, how would you rate your sleep quality overall?"
PSS_7,PSS,"During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?"
PSS_8,PSS,"During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?"
PSS_9,PSS,"During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?"
PSS_10_1,PSS,"During the past month, how often has your bed partner or room mate reported loud snoring?"
PSS_10_2,PSS,"During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?"
PSS_10_3,PSS,"During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?"
PSS_10_4,PSS,"During the past month, how often has your bed partner or room mate reported episodes of disorientation or confusion during sleep?"
PSS_10_5,PSS,"During the past month, how often has your bed partner or room mate reported other restlessness while you sleep?"
PWB_1,PWB,I like most parts of my personality.
PWB_2,PWB,"When I look at the story of my life, I am pleased with how things have turned out so far."
PWB_3,PWB,"Some people wander aimlessly through life, but I am not one of them."
PWB_4,PWB,The demands of everyday life often get me down.
PWB_5,PWB,In many ways I feel disappointed about my achievements in life.
PWB_6,PWB,Maintaining close relationships has been difficult and frustrating for me.
PWB_7,PWB,I live life one day at a time and don't really think about the future.
PWB_8,PWB,"In general, I feel I am in charge of the situation in which I live."
PWB_9,PWB,I am good at managing the responsibilities of daily life.
PWB_10,PWB,I sometimes feel as if I've done all there is to do in life.
PWB_11,PWB,"For me, life has been a continuous process of learning, changing, and growth."
PWB_12,PWB,I think it is important to have new experiences that challenge how I think about myself and the world.
PWB_13,PWB,"People would describe me as a giving person, willing to share my time with others."
PWB_14,PWB,I gave up trying to make big improvements or changes in my life a long time ago.
PWB_15,PWB,I tend to be influenced by people with strong opinions.
PWB_16,PWB,I have not experienced many warm and trusting relationships with others.
PWB_17,PWB,"I have confidence in my own opinions, even if they are different from the way most other people think."
PWB_18,PWB,"I judge myself by what I think is important, not by the values of what others think is important."
PWS_1,PWS,I am always optimistic about my future.
PWS_2,PWS,There have been times when I felt inferior to most of the people I knew.
PWS_3,PWS,Members of my family come to me for support.
PWS_4,PWS,My physical health has restricted me in the past.
PWS_5,PWS,I believe there is a real purpose for my life.
PWS_6,PWS,I will always seek out activities that challenge me to think and reason.
PWS_7,PWS,I rarely count on good things happening to me.
PWS_8,PWS,"In general, I feel confident about my abilities."
PWS_9,PWS,Sometimes I wonder if my family will really be there for me when I am in need.
PWS_10,PWS,My body seems to resist physical illness very well.
PWS_11,PWS,Life does not hold much future promise for me.
PWS_12,PWS,I avoid activities which require me to concentrate.
PWS_13,PWS,I always look on the bright side of things.
PWS_14,PWS,I sometimes think I am a worthless individual.
PWS_15,PWS,My friends know they can always confide in me and ask me for advice.
PWS_16,PWS,My physical health is excellent.
PWS_17,PWS,Sometimes I don't understand what life is all about.
PWS_18,PWS,"Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life."
PWS_19,PWS,"In the past, I have expected the best."
PWS_20,PWS,I am uncertain about my ability to do things well in the future.
PWS_21,PWS,My family has been available to support me in the past.
PWS_22,PWS,"Compared to people I know, my past physical health has been excellent."
PWS_23,PWS,I feel a sense of mission about my future.
PWS_24,PWS,The amount of information that I process in a typical day is just about right for me (i.e. not too much and not too little).
PWS_25,PWS,"In the past, I hardly ever expected things to go my way."
PWS_26,PWS,I will always be secure with who I am.
PWS_27,PWS,"In the past, I have not always had friends with whom I could share my joys and sorrows."
PWS_28,PWS,I expect to always be physically healthy.
PWS_29,PWS,I have felt in the past that my life was meaningless.
PWS_30,PWS,"In the past, I have generally found intellectual challenges to be vital to my overall well-being."
PWS_31,PWS,Things will not work out the way I want them to in the future.
PWS_32,PWS,"In the past, I have felt sure of myself among strangers."
PWS_33,PWS,My friends will be there for me when I need help.
PWS_34,PWS,I expect my physical health to get worse.
PWS_35,PWS,It seems that my life has always had purpose.
PWS_36,PWS,My life has often seemed void of positive mental stimulation.
UCLA_1,UCLA,I am unhappy doing so many things alone
UCLA_2,UCLA,I have nobody to talk to
UCLA_3,UCLA,I cannot tolerate being so alone
UCLA_4,UCLA,I lack companionship
UCLA_5,UCLA,I feel as if nobody really understands me
UCLA_6,UCLA,I find myself waiting for people to call or write
UCLA_7,UCLA,There is no one I can turn to
UCLA_8,UCLA,I am no longer close to anyone
UCLA_9,UCLA,My interests and ideas are not shared by those around me
UCLA_10,UCLA,I feel left out
UCLA_11,UCLA,I feel completely alone
UCLA_12,UCLA,I am unable to reach out and communicate with those around me
UCLA_13,UCLA,My social relationships are superficial
UCLA_14,UCLA,I feel starved for company
UCLA_15,UCLA,No one really knows me well
UCLA_16,UCLA,I feel isolated from others
UCLA_17,UCLA,I am unhappy being so withdrawn
UCLA_18,UCLA,It is difficult for me to make friends
UCLA_19,UCLA,I feel shut out and excluded by others
UCLA_20,UCLA,People are around me but not with me
