qid,dataset,text,dimension_model,dimensions
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_01,['Emotional']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_02,['Emotional']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_03,['Social']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_04,['Emotional']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_05,['Environmental']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_06,['Intellectual']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_07,['Intellectual']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_08,['Environmental']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_09,['Emotional']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_10,['Intellectual']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_11,['Emotional']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_12,['Emotional']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_13,['Emotional']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_14,['Intellectual']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_15,['Environmental']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_16,['Emotional']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_17,['Environmental']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_18,['Emotional']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_19,['Social']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_20,['Intellectual']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_21,['Emotional']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_22,['Emotional']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_23,['Emotional']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_24,['Intellectual']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_25,['Intellectual']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_26,['Emotional']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_27,['Emotional']
CD_RISC_1,HUMAN,I am able to adapt when changes occur.,human_28,['Emotional']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_01,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_02,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_03,['Emotional']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_04,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_05,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_06,['Emotional']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_07,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_08,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_09,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_10,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_11,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_12,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_13,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_14,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_15,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_16,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_17,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_18,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_19,['Emotional']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_20,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_21,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_22,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_23,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_24,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_25,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_26,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_27,['Social']
CD_RISC_2,HUMAN,I have one close and secure relationship.,human_28,['Social']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_01,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_02,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_03,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_04,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_05,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_06,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_07,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_08,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_09,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_10,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_11,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_12,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_13,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_14,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_15,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_16,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_17,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_18,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_19,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_20,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_21,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_22,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_23,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_24,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_25,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_26,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_27,['Spiritual']
CD_RISC_3,HUMAN,Sometimes fate or God helps me.,human_28,['Spiritual']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_01,['Emotional']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_02,['Emotional']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_03,['Emotional']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_04,['Emotional']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_05,['Emotional']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_06,['Emotional']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_07,['Spiritual']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_08,['Intellectual']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_09,['Emotional']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_10,['Intellectual']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_11,['Emotional']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_12,['Occupational']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_13,['Emotional']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_14,['Emotional']
