qid,dataset,text,ud_deprel
CD_RISC_1,CD-RISC,I am able to adapt when changes occur.,nsubj cop root mark xcomp advmod nsubj advcl punct
CD_RISC_2,CD-RISC,I have one close and secure relationship.,nsubj root nummod amod cc conj obj punct
CD_RISC_3,CD-RISC,Sometimes fate or God helps me.,advmod nsubj cc conj root obj punct
CD_RISC_4,CD-RISC,I can deal with whatever comes my way.,nsubj aux root case obl acl:relcl nmod:poss obj punct
CD_RISC_5,CD-RISC,Past successes give me confidence.,amod nsubj root iobj obj punct
CD_RISC_6,CD-RISC,I try to see the humorous side of things when I am faced with problems.,nsubj root mark xcomp det amod obj case nmod advmod nsubj:pass aux:pass advcl case obl punct
CD_RISC_7,CD-RISC,Having to cope with stress can make me stronger.,csubj mark xcomp case obl aux root obj xcomp punct
CD_RISC_8,CD-RISC,"I tend to bounce back after illness, injury, or other hardships.",nsubj root mark xcomp advmod case obl punct conj punct cc amod conj punct
CD_RISC_9,CD-RISC,I believe most things happen for a reason.,nsubj root amod nsubj ccomp case det obl punct
CD_RISC_10,CD-RISC,"I make my best effort, no matter what.",nsubj root nmod:poss amod obj punct det parataxis nsubj punct
CD_RISC_11,CD-RISC,"I believe I can achieve my goals, even if there are obstacles.",nsubj root nsubj aux ccomp nmod:poss obj punct advmod mark expl advcl nsubj punct
CD_RISC_12,CD-RISC,"Even when hopeless, I do not give up.",advmod advmod advcl punct nsubj aux advmod root compound:prt punct
CD_RISC_13,CD-RISC,"In times of stress, I know where to find help.",case obl case nmod punct nsubj root obj mark ccomp obj punct
CD_RISC_14,CD-RISC,"Under pressure, I stay focused and think clearly.",case obl punct nsubj root xcomp cc conj advmod punct
CD_RISC_15,CD-RISC,I prefer to take the lead in problem-solving.,nsubj root mark xcomp det obj case compound punct obl punct
CD_RISC_16,CD-RISC,I am not easily discouraged by failure.,nsubj:pass aux:pass advmod advmod root case obl:agent punct
CD_RISC_17,CD-RISC,I think of myself as a strong person when dealing with life's challenges and difficulties.,nsubj root case obl case det amod obl advmod advcl case nmod:poss case obl cc conj punct
CD_RISC_18,CD-RISC,I make unpopular or difficult decisions.,nsubj root amod cc conj obj punct
CD_RISC_19,CD-RISC,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",nsubj cop root mark xcomp amod cc conj obj case nmod punct conj punct cc conj punct
CD_RISC_20,CD-RISC,I have to act on a hunch.,nsubj root mark xcomp case det obl punct
