qid,dataset,text,dimension_model,dimensions,scores
CD_RISC_1,CD-RISC,I am able to adapt when changes occur.,ChatGPT-5.2,"['Emotional', 'Spiritual', 'Physical', 'Intellectual', 'Occupational', 'Social']","[0.1836039274930954, 0.17746786773204803, 0.17690694332122803, 0.16240713000297546, 0.14813588559627533, 0.14609646797180176]"
CD_RISC_2,CD-RISC,I have one close and secure relationship.,ChatGPT-5.2,['Social'],[0.3431631624698639]
CD_RISC_3,CD-RISC,Sometimes fate or God helps me.,ChatGPT-5.2,['Spiritual'],[0.37358129024505615]
CD_RISC_4,CD-RISC,I can deal with whatever comes my way.,ChatGPT-5.2,"['Social', 'Financial', 'Environmental', 'Spiritual']","[0.22238369286060333, 0.21382500231266022, 0.18910850584506989, 0.1775287389755249]"
CD_RISC_5,CD-RISC,Past successes give me confidence.,ChatGPT-5.2,"['Social', 'Occupational', 'Intellectual', 'Spiritual', 'Physical', 'Emotional']","[0.15198269486427307, 0.1442689448595047, 0.13463276624679565, 0.12880848348140717, 0.10842765867710114, 0.10207007080316544]"
CD_RISC_6,CD-RISC,I try to see the humorous side of things when I am faced with problems.,ChatGPT-5.2,['Intellectual'],[0.24046717584133148]
CD_RISC_7,CD-RISC,Having to cope with stress can make me stronger.,ChatGPT-5.2,['Emotional'],[0.32151758670806885]
CD_RISC_8,CD-RISC,"I tend to bounce back after illness, injury, or other hardships.",ChatGPT-5.2,['Physical'],[0.319270521402359]
CD_RISC_9,CD-RISC,I believe most things happen for a reason.,ChatGPT-5.2,"['Spiritual', 'Emotional']","[0.1907985657453537, 0.17562110722064972]"
CD_RISC_10,CD-RISC,"I make my best effort, no matter what.",ChatGPT-5.2,"['Intellectual', 'Social', 'Occupational']","[0.26829400658607483, 0.2367631047964096, 0.23379984498023987]"
CD_RISC_11,CD-RISC,"I believe I can achieve my goals, even if there are obstacles.",ChatGPT-5.2,"['Occupational', 'Intellectual', 'Spiritual', 'Physical', 'Social', 'Financial']","[0.2703671455383301, 0.2652232050895691, 0.25870025157928467, 0.2469138503074646, 0.24425823986530304, 0.2304193079471588]"
CD_RISC_12,CD-RISC,"Even when hopeless, I do not give up.",ChatGPT-5.2,"['Financial', 'Emotional', 'Intellectual']","[0.17817066609859467, 0.17140723764896393, 0.160422682762146]"
CD_RISC_13,CD-RISC,"In times of stress, I know where to find help.",ChatGPT-5.2,"['Emotional', 'Environmental']","[0.27583247423171997, 0.23300562798976898]"
CD_RISC_14,CD-RISC,"Under pressure, I stay focused and think clearly.",ChatGPT-5.2,['Intellectual'],[0.37045586109161377]
CD_RISC_15,CD-RISC,I prefer to take the lead in problem-solving.,ChatGPT-5.2,['Intellectual'],[0.44932249188423157]
CD_RISC_16,CD-RISC,I am not easily discouraged by failure.,ChatGPT-5.2,['Intellectual'],[0.296265572309494]
CD_RISC_17,CD-RISC,I think of myself as a strong person when dealing with life's challenges and difficulties.,ChatGPT-5.2,"['Emotional', 'Spiritual', 'Social']","[0.4227837324142456, 0.41550424695014954, 0.3740914463996887]"
CD_RISC_18,CD-RISC,I make unpopular or difficult decisions.,ChatGPT-5.2,['Financial'],[0.25117647647857666]
CD_RISC_19,CD-RISC,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",ChatGPT-5.2,['Emotional'],[0.527717649936676]
CD_RISC_20,CD-RISC,I have to act on a hunch.,ChatGPT-5.2,"['Environmental', 'Occupational', 'Intellectual', 'Social', 'Physical']","[0.1380440592765808, 0.13540330529212952, 0.12658342719078064, 0.12338968366384506, 0.11925487220287323]"
CD_RISC_21,CD-RISC,I have a strong sense of purpose in life.,ChatGPT-5.2,"['Occupational', 'Spiritual']","[0.42441877722740173, 0.3860417604446411]"
CD_RISC_22,CD-RISC,I feel like I am in control.,ChatGPT-5.2,"['Financial', 'Emotional', 'Social', 'Intellectual']","[0.15301382541656494, 0.1356648951768875, 0.1257389485836029, 0.11391710489988327]"
CD_RISC_23,CD-RISC,I like challenges.,ChatGPT-5.2,"['Intellectual', 'Spiritual']","[0.18677768111228943, 0.15501542389392853]"
CD_RISC_24,CD-RISC,I work to attain goals.,ChatGPT-5.2,['Occupational'],[0.4324337840080261]
CD_RISC_25,CD-RISC,I take pride in my achievements.,ChatGPT-5.2,"['Occupational', 'Intellectual', 'Social']","[0.2339554727077484, 0.21365630626678467, 0.21040567755699158]"
PERMA1_1,PERMA,How much of the time do you feel you are making progress towards accomplishing your goals?,ChatGPT-5.2,"['Occupational', 'Intellectual', 'Physical']","[0.254533588886261, 0.24917137622833252, 0.2050991952419281]"
PERMA1_2,PERMA,How often do you become absorbed in what you are doing?,ChatGPT-5.2,"['Physical', 'Occupational', 'Environmental']","[0.27503663301467896, 0.2605542540550232, 0.2265842854976654]"
PERMA1_3,PERMA,How often do you feel joyful?,ChatGPT-5.2,"['Emotional', 'Occupational']","[0.29246553778648376, 0.260318398475647]"
PERMA1_4,PERMA,How often do you feel anxious?,ChatGPT-5.2,['Emotional'],[0.28488823771476746]
PERMA1_5,PERMA,How often do you achieve the important goals you have set for yourself?,ChatGPT-5.2,"['Occupational', 'Intellectual']","[0.30768248438835144, 0.26804378628730774]"
PERMA2_1,PERMA,How would you say your health is?,ChatGPT-5.2,['Physical'],[0.5155024528503418]
PERMA3_1,PERMA,To what extent do you lead a purposeful and meaningful life?,ChatGPT-5.2,"['Occupational', 'Spiritual']","[0.46428582072257996, 0.435263454914093]"
PERMA3_2,PERMA,To what extent do you receive help and support from others when you need it?,ChatGPT-5.2,['Social'],[0.38689666986465454]
PERMA3_3,PERMA,To what extent do you feel that what you do in your life is valuable and worthwhile?,ChatGPT-5.2,['Occupational'],[0.4805126190185547]
PERMA3_4,PERMA,To what extent do you feel excited and interested in things?,ChatGPT-5.2,"['Intellectual', 'Emotional']","[0.37778037786483765, 0.36330029368400574]"
PERMA3_5,PERMA,How lonely do you feel in your daily life?,ChatGPT-5.2,"['Occupational', 'Environmental', 'Social', 'Emotional']","[0.303117573261261, 0.3002617657184601, 0.29173338413238525, 0.26199236512184143]"
PERMA4_1,PERMA,How satisfied are you with your current physical health?,ChatGPT-5.2,['Physical'],[0.5207710862159729]
PERMA5_1,PERMA,How often do you feel positive?,ChatGPT-5.2,"['Emotional', 'Spiritual']","[0.24806620180606842, 0.24295221269130707]"
PERMA5_2,PERMA,How often do you feel angry?,ChatGPT-5.2,['Emotional'],[0.30741503834724426]
PERMA5_3,PERMA,How often are you able to handle your responsibilities?,ChatGPT-5.2,"['Occupational', 'Financial']","[0.2881869077682495, 0.2607598900794983]"
PERMA5_4,PERMA,How often do you feel sad?,ChatGPT-5.2,['Emotional'],[0.3273494839668274]
PERMA5_5,PERMA,How often do you lose track of time while doing something you enjoy?,ChatGPT-5.2,"['Physical', 'Occupational', 'Environmental', 'Intellectual']","[0.22092290222644806, 0.19852563738822937, 0.19666306674480438, 0.19137531518936157]"
PERMA6_1,PERMA,"Compared to others of your same age and sex, how is your health?",ChatGPT-5.2,['Physical'],[0.29066237807273865]
PERMA7_1,PERMA,To what extent do you feel you have a sense of direction in your life?,ChatGPT-5.2,['Spiritual'],[0.4718935489654541]
PERMA7_2,PERMA,How satisfied are you with your personal relationships?,ChatGPT-5.2,['Social'],[0.32455238699913025]
PERMA7_3,PERMA,To what extent do you feel loved?,ChatGPT-5.2,['Emotional'],[0.4157841205596924]
PERMA7_4,PERMA,To what extent do you feel contented?,ChatGPT-5.2,"['Emotional', 'Occupational']","[0.3345937132835388, 0.30060335993766785]"
PERMA8_1,PERMA,"Taking all things together, how happy would you say you are?",ChatGPT-5.2,"['Emotional', 'Occupational', 'Social']","[0.2875370979309082, 0.28270450234413147, 0.2466597855091095]"
