qid,dataset,text,dimension_model,dimensions,scores
CD_RISC_1,CD-RISC,I am able to adapt when changes occur.,DeepSeek-V3.2,"['Intellectual', 'Emotional', 'Occupational']","[0.16608314216136932, 0.14512571692466736, 0.1342075765132904]"
CD_RISC_2,CD-RISC,I have one close and secure relationship.,DeepSeek-V3.2,['Social'],[0.45805057883262634]
CD_RISC_3,CD-RISC,Sometimes fate or God helps me.,DeepSeek-V3.2,['Spiritual'],[0.34408649802207947]
CD_RISC_4,CD-RISC,I can deal with whatever comes my way.,DeepSeek-V3.2,"['Social', 'Environmental', 'Financial', 'Emotional', 'Intellectual']","[0.20953433215618134, 0.20224043726921082, 0.19190488755702972, 0.1794702708721161, 0.16245199739933014]"
CD_RISC_5,CD-RISC,Past successes give me confidence.,DeepSeek-V3.2,"['Occupational', 'Social', 'Intellectual']","[0.24094676971435547, 0.2324220985174179, 0.2003941684961319]"
CD_RISC_6,CD-RISC,I try to see the humorous side of things when I am faced with problems.,DeepSeek-V3.2,"['Emotional', 'Intellectual']","[0.2200256586074829, 0.20763367414474487]"
CD_RISC_7,CD-RISC,Having to cope with stress can make me stronger.,DeepSeek-V3.2,"['Emotional', 'Spiritual']","[0.308810293674469, 0.25897616147994995]"
CD_RISC_8,CD-RISC,"I tend to bounce back after illness, injury, or other hardships.",DeepSeek-V3.2,['Physical'],[0.30716636776924133]
CD_RISC_9,CD-RISC,I believe most things happen for a reason.,DeepSeek-V3.2,"['Emotional', 'Spiritual', 'Social']","[0.2021956592798233, 0.19377584755420685, 0.157258078455925]"
CD_RISC_10,CD-RISC,"I make my best effort, no matter what.",DeepSeek-V3.2,"['Intellectual', 'Occupational']","[0.25112080574035645, 0.21837733685970306]"
CD_RISC_11,CD-RISC,"I believe I can achieve my goals, even if there are obstacles.",DeepSeek-V3.2,"['Financial', 'Intellectual', 'Spiritual']","[0.3010622560977936, 0.2930722236633301, 0.2721319794654846]"
CD_RISC_12,CD-RISC,"Even when hopeless, I do not give up.",DeepSeek-V3.2,"['Emotional', 'Financial']","[0.23705148696899414, 0.22929136455059052]"
CD_RISC_13,CD-RISC,"In times of stress, I know where to find help.",DeepSeek-V3.2,['Emotional'],[0.31816431879997253]
CD_RISC_14,CD-RISC,"Under pressure, I stay focused and think clearly.",DeepSeek-V3.2,['Intellectual'],[0.30150893330574036]
CD_RISC_15,CD-RISC,I prefer to take the lead in problem-solving.,DeepSeek-V3.2,['Intellectual'],[0.39480650424957275]
CD_RISC_16,CD-RISC,I am not easily discouraged by failure.,DeepSeek-V3.2,"['Intellectual', 'Occupational', 'Social']","[0.2469038963317871, 0.2190110981464386, 0.20312602818012238]"
CD_RISC_17,CD-RISC,I think of myself as a strong person when dealing with life's challenges and difficulties.,DeepSeek-V3.2,"['Emotional', 'Spiritual']","[0.41074302792549133, 0.38693928718566895]"
CD_RISC_18,CD-RISC,I make unpopular or difficult decisions.,DeepSeek-V3.2,"['Intellectual', 'Social']","[0.20579256117343903, 0.17077073454856873]"
CD_RISC_19,CD-RISC,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",DeepSeek-V3.2,['Emotional'],[0.569412112236023]
CD_RISC_20,CD-RISC,I have to act on a hunch.,DeepSeek-V3.2,['Intellectual'],[0.18116812407970428]
CD_RISC_21,CD-RISC,I have a strong sense of purpose in life.,DeepSeek-V3.2,"['Intellectual', 'Spiritual']","[0.41501525044441223, 0.39166194200515747]"
CD_RISC_22,CD-RISC,I feel like I am in control.,DeepSeek-V3.2,['Emotional'],[0.227564737200737]
CD_RISC_23,CD-RISC,I like challenges.,DeepSeek-V3.2,['Intellectual'],[0.20158730447292328]
CD_RISC_24,CD-RISC,I work to attain goals.,DeepSeek-V3.2,['Occupational'],[0.43827906250953674]
CD_RISC_25,CD-RISC,I take pride in my achievements.,DeepSeek-V3.2,['Occupational'],[0.3405522406101227]
PERMA1_1,PERMA,How much of the time do you feel you are making progress towards accomplishing your goals?,DeepSeek-V3.2,['Intellectual'],[0.30983155965805054]
PERMA1_2,PERMA,How often do you become absorbed in what you are doing?,DeepSeek-V3.2,"['Occupational', 'Physical', 'Intellectual', 'Emotional']","[0.30762413144111633, 0.29473671317100525, 0.28035834431648254, 0.28001853823661804]"
PERMA1_3,PERMA,How often do you feel joyful?,DeepSeek-V3.2,['Emotional'],[0.38570675253868103]
PERMA1_4,PERMA,How often do you feel anxious?,DeepSeek-V3.2,['Emotional'],[0.35759738087654114]
PERMA1_5,PERMA,How often do you achieve the important goals you have set for yourself?,DeepSeek-V3.2,"['Intellectual', 'Financial']","[0.34474265575408936, 0.3155754804611206]"
PERMA2_1,PERMA,How would you say your health is?,DeepSeek-V3.2,['Physical'],[0.5737334489822388]
PERMA3_1,PERMA,To what extent do you lead a purposeful and meaningful life?,DeepSeek-V3.2,"['Spiritual', 'Intellectual']","[0.46333038806915283, 0.4193291664123535]"
PERMA3_2,PERMA,To what extent do you receive help and support from others when you need it?,DeepSeek-V3.2,"['Financial', 'Social']","[0.38602563738822937, 0.3835758566856384]"
PERMA3_3,PERMA,To what extent do you feel that what you do in your life is valuable and worthwhile?,DeepSeek-V3.2,['Occupational'],[0.49467048048973083]
PERMA3_4,PERMA,To what extent do you feel excited and interested in things?,DeepSeek-V3.2,"['Intellectual', 'Emotional']","[0.4519125521183014, 0.41835230588912964]"
PERMA3_5,PERMA,How lonely do you feel in your daily life?,DeepSeek-V3.2,"['Social', 'Emotional']","[0.3854983448982239, 0.3398686647415161]"
PERMA4_1,PERMA,How satisfied are you with your current physical health?,DeepSeek-V3.2,['Physical'],[0.5766974091529846]
PERMA5_1,PERMA,How often do you feel positive?,DeepSeek-V3.2,['Emotional'],[0.3289155662059784]
PERMA5_2,PERMA,How often do you feel angry?,DeepSeek-V3.2,['Emotional'],[0.39490172266960144]
PERMA5_3,PERMA,How often are you able to handle your responsibilities?,DeepSeek-V3.2,"['Financial', 'Occupational']","[0.2900283932685852, 0.24252209067344666]"
PERMA5_4,PERMA,How often do you feel sad?,DeepSeek-V3.2,['Emotional'],[0.4141169488430023]
PERMA5_5,PERMA,How often do you lose track of time while doing something you enjoy?,DeepSeek-V3.2,"['Intellectual', 'Physical']","[0.2726896107196808, 0.2293969839811325]"
