qid,dataset,text,dimension_model,dimensions,scores
CD_RISC_1,CD-RISC,I am able to adapt when changes occur.,Llama-4,"['Emotional', 'Spiritual', 'Intellectual']","[0.1995989829301834, 0.18018002808094025, 0.16907495260238647]"
CD_RISC_2,CD-RISC,I have one close and secure relationship.,Llama-4,"['Financial', 'Social']","[0.361101895570755, 0.34001266956329346]"
CD_RISC_3,CD-RISC,Sometimes fate or God helps me.,Llama-4,['Spiritual'],[0.38131383061408997]
CD_RISC_4,CD-RISC,I can deal with whatever comes my way.,Llama-4,"['Financial', 'Emotional', 'Social', 'Environmental', 'Spiritual']","[0.22348552942276, 0.22175899147987366, 0.20180970430374146, 0.18787486851215363, 0.1853588968515396]"
CD_RISC_5,CD-RISC,Past successes give me confidence.,Llama-4,"['Financial', 'Emotional', 'Occupational', 'Intellectual']","[0.1757482886314392, 0.1593998372554779, 0.1570024937391281, 0.15633037686347961]"
CD_RISC_6,CD-RISC,I try to see the humorous side of things when I am faced with problems.,Llama-4,"['Emotional', 'Intellectual']","[0.2167554348707199, 0.18648585677146912]"
CD_RISC_7,CD-RISC,Having to cope with stress can make me stronger.,Llama-4,['Emotional'],[0.4113124907016754]
CD_RISC_8,CD-RISC,"I tend to bounce back after illness, injury, or other hardships.",Llama-4,"['Physical', 'Emotional']","[0.2871539890766144, 0.2707814872264862]"
CD_RISC_9,CD-RISC,I believe most things happen for a reason.,Llama-4,['Spiritual'],[0.24306972324848175]
CD_RISC_10,CD-RISC,"I make my best effort, no matter what.",Llama-4,"['Intellectual', 'Occupational', 'Physical']","[0.2510225474834442, 0.219404935836792, 0.2145041823387146]"
CD_RISC_11,CD-RISC,"I believe I can achieve my goals, even if there are obstacles.",Llama-4,"['Spiritual', 'Occupational', 'Emotional', 'Intellectual']","[0.29566994309425354, 0.2854576110839844, 0.2779181897640228, 0.26930513978004456]"
CD_RISC_12,CD-RISC,"Even when hopeless, I do not give up.",Llama-4,['Emotional'],[0.2724461853504181]
CD_RISC_13,CD-RISC,"In times of stress, I know where to find help.",Llama-4,['Emotional'],[0.3473590612411499]
CD_RISC_14,CD-RISC,"Under pressure, I stay focused and think clearly.",Llama-4,['Intellectual'],[0.27013513445854187]
CD_RISC_15,CD-RISC,I prefer to take the lead in problem-solving.,Llama-4,['Intellectual'],[0.3979479968547821]
CD_RISC_16,CD-RISC,I am not easily discouraged by failure.,Llama-4,"['Emotional', 'Intellectual']","[0.27343153953552246, 0.2357025146484375]"
