qid,dataset,text,dimension_model,dimensions,scores
CD_RISC_1,CD-RISC,I am able to adapt when changes occur.,claude-sonnet-4.5,"['Emotional', 'Intellectual']","[0.20338718593120575, 0.1728212833404541]"
CD_RISC_2,CD-RISC,I have one close and secure relationship.,claude-sonnet-4.5,['Social'],[0.4295330047607422]
CD_RISC_3,CD-RISC,Sometimes fate or God helps me.,claude-sonnet-4.5,"['Emotional', 'Spiritual']","[0.3030388653278351, 0.30272582173347473]"
CD_RISC_4,CD-RISC,I can deal with whatever comes my way.,claude-sonnet-4.5,"['Environmental', 'Social', 'Emotional']","[0.23452675342559814, 0.21004359424114227, 0.2086700052022934]"
CD_RISC_5,CD-RISC,Past successes give me confidence.,claude-sonnet-4.5,"['Occupational', 'Social', 'Emotional']","[0.18004004657268524, 0.15487010776996613, 0.13201500475406647]"
CD_RISC_6,CD-RISC,I try to see the humorous side of things when I am faced with problems.,claude-sonnet-4.5,"['Emotional', 'Intellectual']","[0.21719160676002502, 0.19901303946971893]"
CD_RISC_7,CD-RISC,Having to cope with stress can make me stronger.,claude-sonnet-4.5,['Emotional'],[0.42123231291770935]
CD_RISC_8,CD-RISC,"I tend to bounce back after illness, injury, or other hardships.",claude-sonnet-4.5,"['Physical', 'Emotional']","[0.28808268904685974, 0.2825136184692383]"
CD_RISC_9,CD-RISC,I believe most things happen for a reason.,claude-sonnet-4.5,"['Emotional', 'Spiritual', 'Environmental']","[0.17283037304878235, 0.16573268175125122, 0.15739664435386658]"
CD_RISC_10,CD-RISC,"I make my best effort, no matter what.",claude-sonnet-4.5,"['Intellectual', 'Occupational', 'Social']","[0.25221171975135803, 0.2353842556476593, 0.21572522819042206]"
CD_RISC_11,CD-RISC,"I believe I can achieve my goals, even if there are obstacles.",claude-sonnet-4.5,"['Intellectual', 'Financial', 'Emotional']","[0.30036279559135437, 0.2825739085674286, 0.2652711868286133]"
CD_RISC_12,CD-RISC,"Even when hopeless, I do not give up.",claude-sonnet-4.5,['Emotional'],[0.25820496678352356]
CD_RISC_13,CD-RISC,"In times of stress, I know where to find help.",claude-sonnet-4.5,['Emotional'],[0.34266045689582825]
CD_RISC_14,CD-RISC,"Under pressure, I stay focused and think clearly.",claude-sonnet-4.5,['Intellectual'],[0.33911362290382385]
CD_RISC_15,CD-RISC,I prefer to take the lead in problem-solving.,claude-sonnet-4.5,['Intellectual'],[0.38336557149887085]
CD_RISC_16,CD-RISC,I am not easily discouraged by failure.,claude-sonnet-4.5,"['Intellectual', 'Emotional']","[0.2608775794506073, 0.24331843852996826]"
CD_RISC_17,CD-RISC,I think of myself as a strong person when dealing with life's challenges and difficulties.,claude-sonnet-4.5,['Emotional'],[0.4986703097820282]
CD_RISC_18,CD-RISC,I make unpopular or difficult decisions.,claude-sonnet-4.5,"['Intellectual', 'Social', 'Financial']","[0.18140891194343567, 0.1519523561000824, 0.14701755344867706]"
CD_RISC_19,CD-RISC,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",claude-sonnet-4.5,['Emotional'],[0.5490440130233765]
CD_RISC_20,CD-RISC,I have to act on a hunch.,claude-sonnet-4.5,"['Environmental', 'Intellectual', 'Physical', 'Occupational', 'Social']","[0.10455446690320969, 0.09083691239356995, 0.08326920121908188, 0.07334784418344498, 0.06347378343343735]"
CD_RISC_21,CD-RISC,I have a strong sense of purpose in life.,claude-sonnet-4.5,['Spiritual'],[0.3965386152267456]
CD_RISC_22,CD-RISC,I feel like I am in control.,claude-sonnet-4.5,['Emotional'],[0.16565197706222534]
CD_RISC_23,CD-RISC,I like challenges.,claude-sonnet-4.5,"['Emotional', 'Spiritual', 'Intellectual', 'Environmental', 'Physical']","[0.15235252678394318, 0.14190086722373962, 0.12712615728378296, 0.11303927004337311, 0.10857009887695312]"
CD_RISC_24,CD-RISC,I work to attain goals.,claude-sonnet-4.5,"['Occupational', 'Intellectual']","[0.37296420335769653, 0.33212539553642273]"
CD_RISC_25,CD-RISC,I take pride in my achievements.,claude-sonnet-4.5,['Occupational'],[0.3048102557659149]
PERMA1_1,PERMA,How much of the time do you feel you are making progress towards accomplishing your goals?,claude-sonnet-4.5,"['Intellectual', 'Occupational']","[0.26990291476249695, 0.23272739350795746]"
PERMA1_2,PERMA,How often do you become absorbed in what you are doing?,claude-sonnet-4.5,"['Occupational', 'Physical']","[0.27047455310821533, 0.22176112234592438]"
PERMA1_3,PERMA,How often do you feel joyful?,claude-sonnet-4.5,['Emotional'],[0.3362022042274475]
PERMA1_4,PERMA,How often do you feel anxious?,claude-sonnet-4.5,['Emotional'],[0.31303277611732483]
PERMA1_5,PERMA,How often do you achieve the important goals you have set for yourself?,claude-sonnet-4.5,"['Intellectual', 'Occupational', 'Emotional', 'Financial']","[0.28317853808403015, 0.2492040991783142, 0.2438778132200241, 0.24167342483997345]"
PERMA2_1,PERMA,How would you say your health is?,claude-sonnet-4.5,['Physical'],[0.531337559223175]
PERMA3_1,PERMA,To what extent do you lead a purposeful and meaningful life?,claude-sonnet-4.5,['Spiritual'],[0.47589966654777527]
PERMA3_2,PERMA,To what extent do you receive help and support from others when you need it?,claude-sonnet-4.5,['Social'],[0.4291006028652191]
PERMA3_3,PERMA,To what extent do you feel that what you do in your life is valuable and worthwhile?,claude-sonnet-4.5,['Occupational'],[0.4738061726093292]
PERMA3_4,PERMA,To what extent do you feel excited and interested in things?,claude-sonnet-4.5,"['Emotional', 'Intellectual']","[0.34992605447769165, 0.31796759366989136]"
PERMA3_5,PERMA,How lonely do you feel in your daily life?,claude-sonnet-4.5,"['Emotional', 'Occupational', 'Social']","[0.34137481451034546, 0.2984996736049652, 0.2934825122356415]"
PERMA4_1,PERMA,How satisfied are you with your current physical health?,claude-sonnet-4.5,['Physical'],[0.5165918469429016]
PERMA5_1,PERMA,How often do you feel positive?,claude-sonnet-4.5,['Emotional'],[0.281203031539917]
PERMA5_2,PERMA,How often do you feel angry?,claude-sonnet-4.5,['Emotional'],[0.32040104269981384]
PERMA5_3,PERMA,How often are you able to handle your responsibilities?,claude-sonnet-4.5,"['Occupational', 'Financial']","[0.24830572307109833, 0.20086118578910828]"
PERMA5_4,PERMA,How often do you feel sad?,claude-sonnet-4.5,['Emotional'],[0.37230807542800903]
PERMA5_5,PERMA,How often do you lose track of time while doing something you enjoy?,claude-sonnet-4.5,"['Occupational', 'Physical']","[0.22059763967990875, 0.18237903714179993]"
PERMA6_1,PERMA,"Compared to others of your same age and sex, how is your health?",claude-sonnet-4.5,"['Physical', 'Social']","[0.28213566541671753, 0.27732494473457336]"
PERMA7_1,PERMA,To what extent do you feel you have a sense of direction in your life?,claude-sonnet-4.5,['Spiritual'],[0.34728145599365234]
PERMA7_2,PERMA,How satisfied are you with your personal relationships?,claude-sonnet-4.5,['Social'],[0.4097127914428711]
PERMA7_3,PERMA,To what extent do you feel loved?,claude-sonnet-4.5,['Emotional'],[0.41233184933662415]
PERMA7_4,PERMA,To what extent do you feel contented?,claude-sonnet-4.5,['Emotional'],[0.36551332473754883]
PERMA8_1,PERMA,"Taking all things together, how happy would you say you are?",claude-sonnet-4.5,"['Emotional', 'Occupational', 'Social']","[0.30741775035858154, 0.30048444867134094, 0.26313385367393494]"
PSS_1,PSS,"During the past month, what time have you usually gone to bed at night?",claude-sonnet-4.5,"['Spiritual', 'Emotional']","[0.05991438776254654, 0.011031238362193108]"
PSS_2,PSS,"During the past month, how long (in minutes) has it usually taken you to fall asleep each night?",claude-sonnet-4.5,"['Spiritual', 'Emotional']","[0.015255477279424667, 0.011161635629832745]"
PSS_3,PSS,"During the past month, what time have you usually gotten up in the morning?",claude-sonnet-4.5,"['Spiritual', 'Physical', 'Occupational', 'Emotional', 'Environmental']","[0.03511083871126175, 0.015863608568906784, 0.015492883510887623, 0.010830068029463291, 0.006900176405906677]"
PSS_4,PSS,"During the past month, how many hours of actual sleep did you get at night?",claude-sonnet-4.5,"['Emotional', 'Spiritual', 'Occupational']","[0.052828848361968994, 0.05264831334352493, 0.03426971659064293]"
PSS_5_1,PSS,"During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?",claude-sonnet-4.5,"['Emotional', 'Spiritual']","[0.024631442502141, -0.020029399544000626]"
PSS_5_2,PSS,"During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?",claude-sonnet-4.5,['Emotional'],[0.002463844371959567]
PSS_5_3,PSS,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?",claude-sonnet-4.5,"['Environmental', 'Emotional', 'Physical']","[0.036488424986600876, 0.0135662741959095, -0.006326996721327305]"
PSS_5_4,PSS,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",claude-sonnet-4.5,"['Emotional', 'Environmental']","[0.08526906371116638, 0.058968685567379]"
PSS_5_5,PSS,"During the past month, how often have you had trouble sleeping because you cough or snore loudly?",claude-sonnet-4.5,['Emotional'],[0.021392999216914177]
PSS_5_6,PSS,"During the past month, how often have you had trouble sleeping because you feel too cold?",claude-sonnet-4.5,['Emotional'],[0.06085260212421417]
PSS_5_7,PSS,"During the past month, how often have you had trouble sleeping because you feel too hot?",claude-sonnet-4.5,['Emotional'],[0.07689803093671799]
PSS_5_8,PSS,"During the past month, how often have you had trouble sleeping because you have bad dreams?",claude-sonnet-4.5,['Emotional'],[0.05168222263455391]
PSS_5_9,PSS,"During the past month, how often have you had trouble sleeping because you have pain?",claude-sonnet-4.5,"['Emotional', 'Spiritual']","[0.05954200401902199, 0.010462847538292408]"
PSS_5_10,PSS,"During the past month, how often have you had trouble sleeping because of other reasons?",claude-sonnet-4.5,['Emotional'],[0.046522919088602066]
PSS_6,PSS,"During the past month, how would you rate your sleep quality overall?",claude-sonnet-4.5,"['Physical', 'Social', 'Environmental', 'Occupational']","[0.1261611431837082, 0.08709824830293655, 0.08539305627346039, 0.08262427896261215]"
PSS_7,PSS,"During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?",claude-sonnet-4.5,"['Emotional', 'Spiritual']","[0.037329260259866714, 0.004557871725410223]"
PSS_8,PSS,"During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?",claude-sonnet-4.5,"['Emotional', 'Social', 'Physical']","[0.15562796592712402, 0.1242917850613594, 0.11236550658941269]"
PSS_9,PSS,"During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?",claude-sonnet-4.5,"['Intellectual', 'Emotional']","[0.20945318043231964, 0.2062235176563263]"
PSS_10_1,PSS,"During the past month, how often has your bed partner or room mate reported loud snoring?",claude-sonnet-4.5,"['Environmental', 'Social', 'Emotional']","[-0.01604696363210678, -0.029424075037240982, -0.06004675105214119]"
PSS_10_2,PSS,"During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?",claude-sonnet-4.5,"['Environmental', 'Emotional', 'Social']","[0.014003053307533264, -0.018346918746829033, -0.024335093796253204]"
PSS_10_3,PSS,"During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?",claude-sonnet-4.5,['Physical'],[0.0412408746778965]
PSS_10_4,PSS,"During the past month, how often has your bed partner or room mate reported episodes of disorientation or confusion during sleep?",claude-sonnet-4.5,"['Emotional', 'Environmental', 'Social', 'Intellectual']","[0.011237718164920807, -0.00660195155069232, -0.015002163127064705, -0.0371723510324955]"
PSS_10_5,PSS,"During the past month, how often has your bed partner or room mate reported other restlessness while you sleep?",claude-sonnet-4.5,"['Social', 'Emotional', 'Environmental']","[0.00990686658769846, -0.003687780350446701, -0.02689971588551998]"
PWB_1,PWB,I like most parts of my personality.,claude-sonnet-4.5,['Social'],[0.2844589054584503]
