qid,dataset,text,dimension_model,dimensions,scores
CD_RISC_1,CD-RISC,I am able to adapt when changes occur.,gemini-3.0-pro,"['Spiritual', 'Occupational', 'Intellectual', 'Emotional']","[0.18419542908668518, 0.17043334245681763, 0.15175709128379822, 0.14256994426250458]"
CD_RISC_2,CD-RISC,I have one close and secure relationship.,gemini-3.0-pro,['Social'],[0.37790554761886597]
CD_RISC_3,CD-RISC,Sometimes fate or God helps me.,gemini-3.0-pro,"['Spiritual', 'Emotional']","[0.37080880999565125, 0.3546181321144104]"
CD_RISC_4,CD-RISC,I can deal with whatever comes my way.,gemini-3.0-pro,"['Emotional', 'Social']","[0.26933860778808594, 0.2501189112663269]"
CD_RISC_5,CD-RISC,Past successes give me confidence.,gemini-3.0-pro,['Occupational'],[0.2756332457065582]
CD_RISC_6,CD-RISC,I try to see the humorous side of things when I am faced with problems.,gemini-3.0-pro,"['Emotional', 'Intellectual']","[0.2999243438243866, 0.25150439143180847]"
CD_RISC_7,CD-RISC,Having to cope with stress can make me stronger.,gemini-3.0-pro,['Emotional'],[0.5505634546279907]
CD_RISC_8,CD-RISC,"I tend to bounce back after illness, injury, or other hardships.",gemini-3.0-pro,['Emotional'],[0.3206448554992676]
CD_RISC_9,CD-RISC,I believe most things happen for a reason.,gemini-3.0-pro,['Spiritual'],[0.2603176534175873]
CD_RISC_10,CD-RISC,"I make my best effort, no matter what.",gemini-3.0-pro,"['Intellectual', 'Occupational']","[0.2771383821964264, 0.24708779156208038]"
CD_RISC_11,CD-RISC,"I believe I can achieve my goals, even if there are obstacles.",gemini-3.0-pro,['Spiritual'],[0.34092187881469727]
CD_RISC_12,CD-RISC,"Even when hopeless, I do not give up.",gemini-3.0-pro,['Emotional'],[0.28225529193878174]
CD_RISC_13,CD-RISC,"In times of stress, I know where to find help.",gemini-3.0-pro,['Emotional'],[0.5167167782783508]
CD_RISC_14,CD-RISC,"Under pressure, I stay focused and think clearly.",gemini-3.0-pro,"['Emotional', 'Intellectual']","[0.313558965921402, 0.2907754182815552]"
CD_RISC_15,CD-RISC,I prefer to take the lead in problem-solving.,gemini-3.0-pro,['Intellectual'],[0.39025408029556274]
CD_RISC_16,CD-RISC,I am not easily discouraged by failure.,gemini-3.0-pro,['Emotional'],[0.33649009466171265]
CD_RISC_17,CD-RISC,I think of myself as a strong person when dealing with life's challenges and difficulties.,gemini-3.0-pro,"['Emotional', 'Spiritual']","[0.4876912832260132, 0.4534256160259247]"
CD_RISC_18,CD-RISC,I make unpopular or difficult decisions.,gemini-3.0-pro,"['Spiritual', 'Emotional', 'Intellectual']","[0.18179461359977722, 0.1670166403055191, 0.1426275074481964]"
CD_RISC_19,CD-RISC,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",gemini-3.0-pro,['Emotional'],[0.5899076461791992]
