question,source
"I like most parts of my personality.",PWB_1
"When I look at the story of my life, I am pleased with how things have turned out so far.",PWB_2
"Some people wander aimlessly through life, but I am not one of them.",PWB_3
"The demands of everyday life often get me down.",PWB_4
"In many ways I feel disappointed about my achievements in life.",PWB_5
"Maintaining close relationships has been difficult and frustrating for me.",PWB_6
"I live life one day at a time and don't really think about the future.",PWB_7
"In general, I feel I am in charge of the situation in which I live.",PWB_8
"I am good at managing the responsibilities of daily life.",PWB_9
"I sometimes feel as if I've done all there is to do in life.",PWB_10
"For me, life has been a continuous process of learning, changing, and growth.",PWB_11
"I think it is important to have new experiences that challenge how I think about myself and the world.",PWB_12
"People would describe me as a giving person, willing to share my time with others.",PWB_13
"I gave up trying to make big improvements or changes in my life a long time ago.",PWB_14
"I tend to be influenced by people with strong opinions.",PWB_15
"I have not experienced many warm and trusting relationships with others.",PWB_16
"I have confidence in my own opinions, even if they are different from the way most other people think.",PWB_17
"I judge myself by what I think is important, not by the values of what others think is important.",PWB_18
