qid,n_versions,pairwise_jsd_mean,pairwise_jsd_max
PWB_9,5,0.057524048271596684,0.10782071063586211
PWB_4,5,0.056287698523739216,0.09683600416440857
PWB_6,5,0.04547700056170202,0.07241967779564532
PWB_2,5,0.04336966282604747,0.08893829482885364
PWB_1,4,0.042169866091127335,0.056039720064365375
CD_RISC_22,3,0.04152086372063687,0.060496451549994286
PWB_10,5,0.038213734802484314,0.06465214240722639
PWB_3,5,0.03543021612045801,0.08056051843121086
PWB_8,5,0.03233441098062901,0.05745701978120811
PWB_5,5,0.03198652267489916,0.05625219199812646
PWB_7,5,0.02708102236117993,0.044526731714375656
