qid,human_pairwise_jsd_mean_5_mean,human_pairwise_jsd_mean_5_median,human_pairwise_jsd_mean_5_p10,human_pairwise_jsd_mean_5_p90,n_versions,llm_pairwise_jsd_mean,llm_pairwise_jsd_max
CD_RISC_22,0.0625895294800643,0.0,0.0,0.14301646849072103,3,0.13333333330894584,0.19999999996341877
PWB_1,0.07149463677865413,0.05401577306365391,0.0,0.16666666663618232,4,0.017425777279835044,0.03485155455967009
PWB_10,0.10752482908022057,0.1062041828473225,0.0,0.21175730244393218,5,0.0,0.0
PWB_2,0.11236153589281596,0.11155231223395703,0.02091093273580205,0.2085368208800284,5,0.22641753560765926,0.44902249951190465
PWB_3,0.0812040429905454,0.06871482165262328,0.0,0.18413612187748565,5,0.1939664106294504,0.47548875014316927
PWB_4,0.13562830524234282,0.12927420598304895,0.044136121903092504,0.23383253699016707,5,0.07394062181289367,0.1245112497653576
PWB_5,0.11185798266135558,0.1046650887190421,0.019391064176946263,0.208517271597061,5,0.043212618450923126,0.10803154612730782
PWB_6,0.05070981202548086,0.0,0.0,0.19999999996341877,5,0.043212618450923126,0.10803154612730782
PWB_7,0.09730864573858741,0.07999999998902163,0.0,0.19960899979399543,5,0.36780719046322813,0.5999999999437757
PWB_8,0.1164958668254171,0.10980449989516868,0.015447005102658768,0.218134668400701,5,0.12413612189556825,0.3103403047389206
PWB_9,0.13459719301869577,0.12689300715999668,0.03322607144724588,0.24055573096104693,5,0.043212618450923126,0.10803154612730782
