qid,dataset,text,cluster_id,sim_to_center
PSS_5_10,PSS,"During the past month, how often have you had trouble sleeping because of other reasons?",0,0.9185233
PSS_5_2,PSS,"During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?",0,0.90209275
PSS_5_1,PSS,"During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?",0,0.85761005
PSS_5_8,PSS,"During the past month, how often have you had trouble sleeping because you have bad dreams?",0,0.845484
PSS_2,PSS,"During the past month, how long (in minutes) has it usually taken you to fall asleep each night?",0,0.8321174
PSS_5_9,PSS,"During the past month, how often have you had trouble sleeping because you have pain?",0,0.8279098
PSS_5_4,PSS,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",0,0.82742494
PSS_5_3,PSS,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?",0,0.8254268
PSS_5_5,PSS,"During the past month, how often have you had trouble sleeping because you cough or snore loudly?",0,0.81796503
PSS_5_6,PSS,"During the past month, how often have you had trouble sleeping because you feel too cold?",0,0.81606364
PSS_4,PSS,"During the past month, how many hours of actual sleep did you get at night?",0,0.810354
PSS_10_5,PSS,"During the past month, how often has your bed partner or room mate reported other restlessness while you sleep?",0,0.8097801
PSS_5_7,PSS,"During the past month, how often have you had trouble sleeping because you feel too hot?",0,0.8029641
PSS_1,PSS,"During the past month, what time have you usually gone to bed at night?",0,0.7711802
PSS_7,PSS,"During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?",0,0.75634897
PSS_10_4,PSS,"During the past month, how often has your bed partner or room mate reported episodes of disorientation or confusion during sleep?",0,0.7519065
PSS_6,PSS,"During the past month, how would you rate your sleep quality overall?",0,0.75120544
PSS_10_1,PSS,"During the past month, how often has your bed partner or room mate reported loud snoring?",0,0.71629703
PSS_8,PSS,"During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?",0,0.7090033
PSS_10_2,PSS,"During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?",0,0.7083204
