qid,dataset,text,text_raw,cluster_id,cluster_type
PSS_1,PSS,during time gone to bed at night,"During the past month, what time have you usually gone to bed at night?",0,Sleep
PSS_10_1,PSS,during your bed partner room mate reported loud snoring,"During the past month, how often has your bed partner or room mate reported loud snoring?",0,Sleep
PSS_10_2,PSS,during your bed partner room mate reported long pauses between breaths while asleep,"During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?",0,Sleep
PSS_10_3,PSS,during your bed partner room mate reported legs twitching jerking while asleep,"During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?",0,Sleep
PSS_10_4,PSS,during your bed partner room mate reported episodes of disorientation confusion during sleep,"During the past month, how often has your bed partner or room mate reported episodes of disorientation or confusion during sleep?",0,Sleep
PSS_10_5,PSS,during your bed partner room mate reported other restlessness while sleep,"During the past month, how often has your bed partner or room mate reported other restlessness while you sleep?",0,Sleep
PSS_2,PSS,during in taken you to fall night,"During the past month, how long (in minutes) has it usually taken you to fall asleep each night?",0,Sleep
PSS_3,PSS,during time gotten up in morning,"During the past month, what time have you usually gotten up in the morning?",0,Sleep
PSS_4,PSS,during many hours of actual sleep get at night,"During the past month, how many hours of actual sleep did you get at night?",0,Sleep
PSS_5_1,PSS,during had trouble sleeping because cannot get to sleep within,"During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?",0,Sleep
PSS_5_10,PSS,during had trouble sleeping because of other reasons,"During the past month, how often have you had trouble sleeping because of other reasons?",0,Sleep
PSS_5_2,PSS,during had trouble sleeping because wake up in middle of night,"During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?",0,Sleep
PSS_5_3,PSS,during had trouble sleeping because have to get up to use bathroom,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?",0,Sleep
PSS_5_4,PSS,during had trouble sleeping because cannot breathe,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",0,Sleep
PSS_5_5,PSS,during had trouble sleeping because cough snore,"During the past month, how often have you had trouble sleeping because you cough or snore loudly?",0,Sleep
PSS_5_6,PSS,during had trouble sleeping because feel cold,"During the past month, how often have you had trouble sleeping because you feel too cold?",0,Sleep
PSS_5_7,PSS,during had trouble sleeping because feel hot,"During the past month, how often have you had trouble sleeping because you feel too hot?",0,Sleep
PSS_5_8,PSS,during had trouble sleeping because have bad dreams,"During the past month, how often have you had trouble sleeping because you have bad dreams?",0,Sleep
PSS_5_9,PSS,during had trouble sleeping because have pain,"During the past month, how often have you had trouble sleeping because you have pain?",0,Sleep
PSS_6,PSS,during rate your sleep quality,"During the past month, how would you rate your sleep quality overall?",0,Sleep
PSS_7,PSS,during taken medicine to help you sleep prescribed over counter,"During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?",0,Sleep
PSS_8,PSS,during had trouble staying while driving eating meals engaging in social activity,"During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?",0,Sleep
CD_RISC_20,CD-RISC,have to act on hunch,I have to act on a hunch.,1,Spiritual
CD_RISC_21,CD-RISC,have strong sense of purpose in life,I have a strong sense of purpose in life.,1,Spiritual
CD_RISC_24,CD-RISC,work to attain goals,I work to attain goals.,1,Spiritual
CD_RISC_3,CD-RISC,fate god helps me,Sometimes fate or God helps me.,1,Spiritual
CD_RISC_9,CD-RISC,believe most things happen for reason,I believe most things happen for a reason.,1,Spiritual
PERMA1_2,PERMA,become absorbed in what doing,How often do you become absorbed in what you are doing?,1,Spiritual
PERMA1_5,PERMA,achieve important goals set for yourself,How often do you achieve the important goals you have set for yourself?,1,Spiritual
PERMA3_1,PERMA,to extent lead purposeful meaningful life,To what extent do you lead a purposeful and meaningful life?,1,Spiritual
PERMA3_3,PERMA,to extent feel that what do in your life valuable worthwhile,To what extent do you feel that what you do in your life is valuable and worthwhile?,1,Spiritual
PERMA5_5,PERMA,lose track of time while doing something enjoy,How often do you lose track of time while doing something you enjoy?,1,Spiritual
PERMA7_1,PERMA,to extent feel have sense of direction in your life,To what extent do you feel you have a sense of direction in your life?,1,Spiritual
PWB_10,PWB,feel as if done all there is to do in life,I sometimes feel as if I've done all there is to do in life.,1,Spiritual
PWB_11,PWB,for me life continuous process of learning changing growth,"For me, life has been a continuous process of learning, changing, and growth.",1,Spiritual
PWB_18,PWB,judge myself by what think important not by values of what others think important,"I judge myself by what I think is important, not by the values of what others think is important.",1,Spiritual
PWB_3,PWB,people wander through life not one of them,"Some people wander aimlessly through life, but I am not one of them.",1,Spiritual
PWB_8,PWB,in general feel in charge of situation in which live,"In general, I feel I am in charge of the situation in which I live.",1,Spiritual
PWB_9,PWB,good at managing responsibilities of daily life,I am good at managing the responsibilities of daily life.,1,Spiritual
PWS_12,PWS,avoid activities which require me to concentrate,I avoid activities which require me to concentrate.,1,Spiritual
PWS_13,PWS,look on bright side of things,I always look on the bright side of things.,1,Spiritual
PWS_17,PWS,don't understand life about,Sometimes I don't understand what life is all about.,1,Spiritual
PWS_29,PWS,felt in past that my life meaningless,I have felt in the past that my life was meaningless.,1,Spiritual
PWS_35,PWS,seems that my life had purpose,It seems that my life has always had purpose.,1,Spiritual
PWS_5,PWS,believe there is real purpose for my life,I believe there is a real purpose for my life.,1,Spiritual
PWS_6,PWS,seek out activities that challenge me to think reason,I will always seek out activities that challenge me to think and reason.,1,Spiritual
UCLA_9,UCLA,my interests ideas are not shared by those around me,My interests and ideas are not shared by those around me,1,Spiritual
CD_RISC_12,CD-RISC,hopeless not give up,"Even when hopeless, I do not give up.",2,Relationship
CD_RISC_2,CD-RISC,have close secure relationship,I have one close and secure relationship.,2,Relationship
PERMA7_2,PERMA,satisfied with your personal relationships,How satisfied are you with your personal relationships?,2,Relationship
PWB_16,PWB,not experienced many warm trusting relationships with others,I have not experienced many warm and trusting relationships with others.,2,Relationship
PWB_6,PWB,maintaining close relationships difficult frustrating for me,Maintaining close relationships has been difficult and frustrating for me.,2,Relationship
UCLA_13,UCLA,my social relationships superficial,My social relationships are superficial,2,Relationship
