qid,dataset,text,dim_top1,dim_top1_score,dim_multi,dim_multi_scores
CD_RISC_1,CD-RISC,I am able to adapt when changes occur.,Intellectual,0.16210978,"['Intellectual', 'Occupational']","[0.16210977733135223, 0.13327734172344208]"
CD_RISC_2,CD-RISC,I have one close and secure relationship.,Social,0.24629848,['Social'],[0.24629847705364227]
CD_RISC_3,CD-RISC,Sometimes fate or God helps me.,Spiritual,0.33445626,['Spiritual'],[0.33445626497268677]
CD_RISC_4,CD-RISC,I can deal with whatever comes my way.,Social,0.25344187,"['Social', 'Environmental']","[0.25344187021255493, 0.21439789235591888]"
CD_RISC_5,CD-RISC,Past successes give me confidence.,Occupational,0.22219299,['Occupational'],[0.22219298779964447]
CD_RISC_6,CD-RISC,I try to see the humorous side of things when I am faced with problems.,Intellectual,0.19524841,"['Intellectual', 'Emotional']","[0.19524841010570526, 0.18635015189647675]"
CD_RISC_7,CD-RISC,Having to cope with stress can make me stronger.,Emotional,0.34134805,['Emotional'],[0.3413480520248413]
CD_RISC_8,CD-RISC,"I tend to bounce back after illness, injury, or other hardships.",Physical,0.26813182,['Physical'],[0.268131822347641]
CD_RISC_9,CD-RISC,I believe most things happen for a reason.,Spiritual,0.15325081,"['Spiritual', 'Emotional']","[0.1532508134841919, 0.14529845118522644]"
CD_RISC_10,CD-RISC,"I make my best effort, no matter what.",Occupational,0.23859227,"['Occupational', 'Intellectual']","[0.238592267036438, 0.21458716690540314]"
CD_RISC_11,CD-RISC,"I believe I can achieve my goals, even if there are obstacles.",Occupational,0.2930573,"['Occupational', 'Spiritual']","[0.29305729269981384, 0.2585805058479309]"
CD_RISC_12,CD-RISC,"Even when hopeless, I do not give up.",Emotional,0.19630536,"['Emotional', 'Occupational']","[0.19630536437034607, 0.17285574972629547]"
CD_RISC_13,CD-RISC,"In times of stress, I know where to find help.",Emotional,0.3311177,['Emotional'],[0.3311176896095276]
CD_RISC_14,CD-RISC,"Under pressure, I stay focused and think clearly.",Intellectual,0.28108034,['Intellectual'],[0.28108033537864685]
CD_RISC_15,CD-RISC,I prefer to take the lead in problem-solving.,Intellectual,0.4306301,['Intellectual'],[0.430630087852478]
CD_RISC_16,CD-RISC,I am not easily discouraged by failure.,Occupational,0.23191649,"['Occupational', 'Intellectual']","[0.23191648721694946, 0.2186332643032074]"
CD_RISC_17,CD-RISC,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,0.40590182,"['Emotional', 'Spiritual']","[0.40590181946754456, 0.3825744092464447]"
CD_RISC_18,CD-RISC,I make unpopular or difficult decisions.,Emotional,0.11806891,"['Emotional', 'Financial']","[0.11806891113519669, 0.10957948863506317]"
CD_RISC_19,CD-RISC,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",Emotional,0.47617176,['Emotional'],[0.4761717617511749]
CD_RISC_20,CD-RISC,I have to act on a hunch.,Social,0.13629419,"['Social', 'Physical']","[0.1362941861152649, 0.11993560194969177]"
CD_RISC_21,CD-RISC,I have a strong sense of purpose in life.,Spiritual,0.42030883,['Spiritual'],[0.42030882835388184]
CD_RISC_22,CD-RISC,I feel like I am in control.,Emotional,0.13204403,"['Emotional', 'Social']","[0.13204403221607208, 0.11052579432725906]"
CD_RISC_23,CD-RISC,I like challenges.,Environmental,0.18829484,"['Environmental', 'Intellectual']","[0.18829484283924103, 0.17057128250598907]"
CD_RISC_24,CD-RISC,I work to attain goals.,Occupational,0.48105428,['Occupational'],[0.48105427622795105]
CD_RISC_25,CD-RISC,I take pride in my achievements.,Occupational,0.33956105,['Occupational'],[0.3395610451698303]
PERMA1_1,PERMA,How much of the time do you feel you are making progress towards accomplishing your goals?,Occupational,0.30465963,['Occupational'],[0.3046596348285675]
PERMA1_2,PERMA,How often do you become absorbed in what you are doing?,Occupational,0.3071052,['Occupational'],[0.3071052134037018]
PERMA1_3,PERMA,How often do you feel joyful?,Emotional,0.27369648,"['Emotional', 'Spiritual']","[0.2736964821815491, 0.23308789730072021]"
PERMA1_4,PERMA,How often do you feel anxious?,Emotional,0.31268772,['Emotional'],[0.3126877248287201]
PERMA1_5,PERMA,How often do you achieve the important goals you have set for yourself?,Occupational,0.35776758,['Occupational'],[0.35776758193969727]
PERMA2_1,PERMA,How would you say your health is?,Physical,0.488391,['Physical'],[0.4883910119533539]
