qid,dataset,text,mean_pairwise_jaccard,union_dimensions,consensus_dimensions
CD_RISC_1,CD-RISC,I am able to adapt when changes occur.,0.5833333333333333,"['Emotional', 'Intellectual', 'Occupational', 'Physical', 'Social', 'Spiritual']","['Emotional', 'Intellectual', 'Occupational', 'Spiritual']"
CD_RISC_2,CD-RISC,I have one close and secure relationship.,0.8,"['Financial', 'Social']",['Social']
CD_RISC_3,CD-RISC,Sometimes fate or God helps me.,0.7,"['Emotional', 'Spiritual']",['Spiritual']
CD_RISC_4,CD-RISC,I can deal with whatever comes my way.,0.5233333333333333,"['Emotional', 'Environmental', 'Financial', 'Intellectual', 'Social', 'Spiritual']","['Emotional', 'Environmental', 'Financial', 'Social']"
CD_RISC_5,CD-RISC,Past successes give me confidence.,0.3811904761904762,"['Emotional', 'Financial', 'Intellectual', 'Occupational', 'Physical', 'Social', 'Spiritual']","['Emotional', 'Intellectual', 'Occupational', 'Social']"
CD_RISC_6,CD-RISC,I try to see the humorous side of things when I am faced with problems.,0.8,"['Emotional', 'Intellectual']","['Emotional', 'Intellectual']"
CD_RISC_7,CD-RISC,Having to cope with stress can make me stronger.,0.8,"['Emotional', 'Spiritual']",['Emotional']
CD_RISC_8,CD-RISC,"I tend to bounce back after illness, injury, or other hardships.",0.5,"['Emotional', 'Physical']","['Emotional', 'Physical']"
CD_RISC_9,CD-RISC,I believe most things happen for a reason.,0.5166666666666666,"['Emotional', 'Environmental', 'Social', 'Spiritual']","['Emotional', 'Spiritual']"
CD_RISC_10,CD-RISC,"I make my best effort, no matter what.",0.7,"['Intellectual', 'Occupational', 'Physical', 'Social']","['Intellectual', 'Occupational']"
CD_RISC_11,CD-RISC,"I believe I can achieve my goals, even if there are obstacles.",0.3264285714285714,"['Emotional', 'Financial', 'Intellectual', 'Occupational', 'Physical', 'Social', 'Spiritual']","['Financial', 'Intellectual', 'Spiritual']"
CD_RISC_12,CD-RISC,"Even when hopeless, I do not give up.",0.6166666666666667,"['Emotional', 'Financial', 'Intellectual']",['Emotional']
CD_RISC_13,CD-RISC,"In times of stress, I know where to find help.",0.8,"['Emotional', 'Environmental']",['Emotional']
CD_RISC_14,CD-RISC,"Under pressure, I stay focused and think clearly.",0.8,"['Emotional', 'Intellectual']",['Intellectual']
CD_RISC_15,CD-RISC,I prefer to take the lead in problem-solving.,1.0,['Intellectual'],['Intellectual']
CD_RISC_16,CD-RISC,I am not easily discouraged by failure.,0.38333333333333336,"['Emotional', 'Intellectual', 'Occupational', 'Social']","['Emotional', 'Intellectual']"
CD_RISC_17,CD-RISC,I think of myself as a strong person when dealing with life's challenges and difficulties.,0.6,"['Emotional', 'Social', 'Spiritual']","['Emotional', 'Spiritual']"
CD_RISC_18,CD-RISC,I make unpopular or difficult decisions.,0.335,"['Emotional', 'Financial', 'Intellectual', 'Social', 'Spiritual']","['Financial', 'Intellectual', 'Social']"
CD_RISC_19,CD-RISC,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",1.0,['Emotional'],['Emotional']
CD_RISC_20,CD-RISC,I have to act on a hunch.,0.4416666666666667,"['Emotional', 'Environmental', 'Intellectual', 'Occupational', 'Physical', 'Social']","['Environmental', 'Intellectual', 'Occupational', 'Physical', 'Social']"
CD_RISC_21,CD-RISC,I have a strong sense of purpose in life.,0.5666666666666667,"['Intellectual', 'Occupational', 'Spiritual']",['Spiritual']
CD_RISC_22,CD-RISC,I feel like I am in control.,0.7,"['Emotional', 'Financial', 'Intellectual', 'Social']",['Emotional']
CD_RISC_23,CD-RISC,I like challenges.,0.53,"['Emotional', 'Environmental', 'Intellectual', 'Physical', 'Spiritual']","['Emotional', 'Intellectual', 'Spiritual']"
CD_RISC_24,CD-RISC,I work to attain goals.,0.8,"['Intellectual', 'Occupational']",['Occupational']
CD_RISC_25,CD-RISC,I take pride in my achievements.,0.6166666666666667,"['Intellectual', 'Occupational', 'Social']",['Occupational']
PERMA1_1,PERMA,How much of the time do you feel you are making progress towards accomplishing your goals?,0.5833333333333333,"['Emotional', 'Intellectual', 'Occupational', 'Physical']","['Intellectual', 'Occupational']"
PERMA1_2,PERMA,How often do you become absorbed in what you are doing?,0.49000000000000005,"['Emotional', 'Environmental', 'Intellectual', 'Occupational', 'Physical']","['Occupational', 'Physical']"
PERMA1_3,PERMA,How often do you feel joyful?,0.7,"['Emotional', 'Occupational']","['Emotional', 'Occupational']"
PERMA1_4,PERMA,How often do you feel anxious?,1.0,['Emotional'],['Emotional']
PERMA1_5,PERMA,How often do you achieve the important goals you have set for yourself?,0.35,"['Emotional', 'Financial', 'Intellectual', 'Occupational', 'Physical', 'Spiritual']","['Intellectual', 'Occupational']"
PERMA2_1,PERMA,How would you say your health is?,1.0,['Physical'],['Physical']
PERMA3_1,PERMA,To what extent do you lead a purposeful and meaningful life?,0.5666666666666667,"['Intellectual', 'Occupational', 'Spiritual']",['Spiritual']
PERMA3_2,PERMA,To what extent do you receive help and support from others when you need it?,0.8,"['Financial', 'Social']",['Social']
PERMA3_3,PERMA,To what extent do you feel that what you do in your life is valuable and worthwhile?,1.0,['Occupational'],['Occupational']
PERMA3_4,PERMA,To what extent do you feel excited and interested in things?,0.6833333333333333,"['Emotional', 'Intellectual', 'Occupational']","['Emotional', 'Intellectual']"
PERMA3_5,PERMA,How lonely do you feel in your daily life?,0.5916666666666666,"['Emotional', 'Environmental', 'Occupational', 'Social']","['Emotional', 'Occupational', 'Social']"
PERMA4_1,PERMA,How satisfied are you with your current physical health?,1.0,['Physical'],['Physical']
PERMA5_1,PERMA,How often do you feel positive?,0.5666666666666667,"['Emotional', 'Occupational', 'Spiritual']",['Emotional']
