qid,dataset,text,exact_5of5,exact_4of5,exact_3of5,exact_2of5,exact_1of5
CD_RISC_1,CD-RISC,I am able to adapt when changes occur.,"['Emotional', 'Intellectual']",[],"['Occupational', 'Spiritual']",[],"['Physical', 'Social']"
CD_RISC_2,CD-RISC,I have one close and secure relationship.,['Social'],[],[],[],['Financial']
CD_RISC_3,CD-RISC,Sometimes fate or God helps me.,['Spiritual'],[],[],['Emotional'],[]
CD_RISC_4,CD-RISC,I can deal with whatever comes my way.,['Social'],"['Emotional', 'Environmental']",['Financial'],['Spiritual'],['Intellectual']
CD_RISC_5,CD-RISC,Past successes give me confidence.,['Occupational'],[],"['Emotional', 'Intellectual', 'Social']",[],"['Financial', 'Physical', 'Spiritual']"
CD_RISC_6,CD-RISC,I try to see the humorous side of things when I am faced with problems.,['Intellectual'],['Emotional'],[],[],[]
CD_RISC_7,CD-RISC,Having to cope with stress can make me stronger.,['Emotional'],[],[],[],['Spiritual']
CD_RISC_8,CD-RISC,"I tend to bounce back after illness, injury, or other hardships.",[],['Physical'],['Emotional'],[],[]
CD_RISC_9,CD-RISC,I believe most things happen for a reason.,['Spiritual'],[],['Emotional'],[],"['Environmental', 'Social']"
CD_RISC_10,CD-RISC,"I make my best effort, no matter what.","['Intellectual', 'Occupational']",[],[],['Social'],['Physical']
CD_RISC_11,CD-RISC,"I believe I can achieve my goals, even if there are obstacles.",[],"['Intellectual', 'Spiritual']",['Financial'],"['Emotional', 'Occupational']","['Physical', 'Social']"
CD_RISC_12,CD-RISC,"Even when hopeless, I do not give up.",['Emotional'],[],[],['Financial'],['Intellectual']
CD_RISC_13,CD-RISC,"In times of stress, I know where to find help.",['Emotional'],[],[],[],['Environmental']
CD_RISC_14,CD-RISC,"Under pressure, I stay focused and think clearly.",['Intellectual'],[],[],[],['Emotional']
CD_RISC_15,CD-RISC,I prefer to take the lead in problem-solving.,['Intellectual'],[],[],[],[]
CD_RISC_16,CD-RISC,I am not easily discouraged by failure.,[],['Intellectual'],['Emotional'],[],"['Occupational', 'Social']"
CD_RISC_17,CD-RISC,I think of myself as a strong person when dealing with life's challenges and difficulties.,['Emotional'],[],['Spiritual'],[],['Social']
CD_RISC_18,CD-RISC,I make unpopular or difficult decisions.,[],['Intellectual'],"['Financial', 'Social']",['Emotional'],['Spiritual']
CD_RISC_19,CD-RISC,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",['Emotional'],[],[],[],[]
CD_RISC_20,CD-RISC,I have to act on a hunch.,['Intellectual'],[],"['Environmental', 'Occupational', 'Physical', 'Social']",[],['Emotional']
CD_RISC_21,CD-RISC,I have a strong sense of purpose in life.,['Spiritual'],[],[],['Occupational'],['Intellectual']
CD_RISC_22,CD-RISC,I feel like I am in control.,['Emotional'],[],[],[],"['Financial', 'Intellectual', 'Social']"
CD_RISC_23,CD-RISC,I like challenges.,['Intellectual'],['Spiritual'],['Emotional'],[],"['Environmental', 'Physical']"
CD_RISC_24,CD-RISC,I work to attain goals.,['Occupational'],[],[],[],['Intellectual']
CD_RISC_25,CD-RISC,I take pride in my achievements.,['Occupational'],[],[],['Intellectual'],['Social']
PERMA1_1,PERMA,How much of the time do you feel you are making progress towards accomplishing your goals?,['Intellectual'],['Occupational'],[],[],"['Emotional', 'Physical']"
PERMA1_2,PERMA,How often do you become absorbed in what you are doing?,['Occupational'],['Physical'],[],['Intellectual'],"['Emotional', 'Environmental']"
PERMA1_3,PERMA,How often do you feel joyful?,['Emotional'],[],['Occupational'],[],[]
PERMA1_4,PERMA,How often do you feel anxious?,['Emotional'],[],[],[],[]
PERMA1_5,PERMA,How often do you achieve the important goals you have set for yourself?,[],"['Intellectual', 'Occupational']",[],"['Emotional', 'Financial']","['Physical', 'Spiritual']"
PERMA2_1,PERMA,How would you say your health is?,['Physical'],[],[],[],[]
PERMA3_1,PERMA,To what extent do you lead a purposeful and meaningful life?,['Spiritual'],[],[],['Occupational'],['Intellectual']
PERMA3_2,PERMA,To what extent do you receive help and support from others when you need it?,['Social'],[],[],[],['Financial']
PERMA3_3,PERMA,To what extent do you feel that what you do in your life is valuable and worthwhile?,['Occupational'],[],[],[],[]
PERMA3_4,PERMA,To what extent do you feel excited and interested in things?,['Intellectual'],['Emotional'],[],[],['Occupational']
PERMA3_5,PERMA,How lonely do you feel in your daily life?,['Emotional'],['Social'],['Occupational'],[],['Environmental']
PERMA4_1,PERMA,How satisfied are you with your current physical health?,['Physical'],[],[],[],[]
PERMA5_1,PERMA,How often do you feel positive?,['Emotional'],[],[],['Spiritual'],['Occupational']
PERMA5_2,PERMA,How often do you feel angry?,['Emotional'],[],[],[],[]
PERMA5_3,PERMA,How often are you able to handle your responsibilities?,['Occupational'],['Financial'],[],[],"['Emotional', 'Intellectual']"
PERMA5_4,PERMA,How often do you feel sad?,['Emotional'],[],[],[],[]
PERMA5_5,PERMA,How often do you lose track of time while doing something you enjoy?,[],['Physical'],"['Intellectual', 'Occupational']",[],['Environmental']
PERMA6_1,PERMA,"Compared to others of your same age and sex, how is your health?",['Physical'],[],['Social'],[],[]
PERMA7_1,PERMA,To what extent do you feel you have a sense of direction in your life?,[],['Spiritual'],[],[],"['Emotional', 'Environmental']"
PERMA7_2,PERMA,How satisfied are you with your personal relationships?,['Social'],[],[],[],['Financial']
PERMA7_3,PERMA,To what extent do you feel loved?,['Emotional'],[],[],[],[]
